block_index,standard_word,pinyin,initial,repeat_1_node,repeat_2_node,notes
1,谗（羡慕）,chan,C,1,2,
2,唱歌,chang ge,C,3,4,
3,超市,chao shi,C,5,6,
4,船（轮船）,chuan,C,7,8,
5,公交车,gong jiao che,G,9,10,
6,虎,hu,H,11,12,
7,花,hua,H,13,14,
8,鸡蛋,ji dan,J,15,16,
9,烤串,kao chuan,K,17,18,
10,科学,ke xue,K,19,20,
11,牛奶,niu nai,N,21,22,
12,朋友,peng you,P,23,24,
13,汽车（一）,qi che yi,Q,25,26,汽车的第一个动作变体
14,汽车二,qi che er,Q,27,28,汽车的第二个动作变体
15,人们（人民）,ren men,R,29,30,
16,森林,sen lin,S,31,32,
17,跳,tiao,T,33,34,
18,香蕉,xiang jiao,X,35,36,
19,勇敢,yong gan,Y,37,38,
20,月亮,yue liang,Y,39,40,
21,指示,zhi shi,Z,41,42,指导语音归一化为指示
