frame_idx,timestamp_sec,pose_present,left_hand_present,right_hand_present,face_present,motion_energy,bbox_shift
0,0.0,True,False,False,True,0.0,0.0
4,0.16,True,False,False,True,11.966056823730469,11.344129687290577
8,0.32,True,True,False,True,5.726393222808838,4.068693848951387
12,0.48,True,True,True,True,32.32463264465332,28.49502414276915
16,0.64,True,True,True,True,94.7315936088562,81.86380251268699
20,0.8,True,True,True,True,107.02813529968262,89.78235040191566
24,0.96,True,True,True,True,31.374796390533447,25.483084359103813
28,1.12,True,True,True,True,14.010663032531738,10.557459306815023
32,1.28,True,True,True,True,2.806318759918213,2.06725133756229
36,1.44,True,True,True,True,2.237609386444092,2.0359572478306345
40,1.6,True,True,True,True,13.332819938659668,10.510567743426611
44,1.76,True,True,True,True,25.183837413787842,20.811454265339908
