frame_idx,timestamp_sec,pose_present,left_hand_present,right_hand_present,face_present,motion_energy,bbox_shift
0,0.0,True,False,False,True,0.0,0.0
4,0.16,True,True,True,True,2.4475879669189453,1.7862995102791357
8,0.32,True,False,False,True,6.002194166183472,5.3806062249395925
12,0.48,True,True,True,True,0.9900033473968506,0.8772738107313623
16,0.64,True,True,True,True,55.348204612731934,39.481001463258444
20,0.8,True,True,True,True,22.85240650177002,17.04473346574479
24,0.96,True,True,True,True,6.914071083068848,5.287597604534086
28,1.12,True,True,True,True,14.163050174713135,13.086753527813633
32,1.28,True,True,True,True,6.283168792724609,5.101732886766526
36,1.44,True,True,True,True,19.042055130004883,17.899923746035842
40,1.6,True,True,True,True,7.03414249420166,5.806578978092738
44,1.76,True,True,True,True,6.8374924659729,5.7947564988140625
