frame_idx,timestamp_sec,pose_present,left_hand_present,right_hand_present,face_present,motion_energy,bbox_shift
0,0.0,True,False,False,True,0.0,0.0
4,0.15172413793103448,True,True,False,True,3.868732452392578,3.230100686526637
8,0.30344827586206896,True,False,False,True,2.2524189949035645,1.6739631600253166
12,0.45517241379310347,True,False,False,True,5.175484657287598,4.11372722110931
16,0.6068965517241379,True,True,False,True,1.1569316387176514,1.002433944857027
20,0.7586206896551724,True,True,True,True,15.332269668579102,13.265926188118083
24,0.9103448275862069,True,True,True,True,96.71853375434875,78.2612971344403
28,1.0620689655172413,True,True,True,True,9.393775224685669,6.666397358258344
32,1.2137931034482758,True,True,True,True,85.75436592102051,72.42346387132628
36,1.3655172413793104,True,True,True,True,50.15493297576904,43.14519680967865
40,1.5172413793103448,True,True,True,True,8.862254619598389,7.565130141843086
44,1.6689655172413793,True,True,True,True,66.12882351875305,60.541946132160746
