frame_idx,timestamp_sec,pose_present,left_hand_present,right_hand_present,face_present,motion_energy,bbox_shift
0,0.0,True,False,False,True,0.0,0.0
4,0.15053763440860216,True,False,False,True,10.01236605644226,8.09717495111701
8,0.3010752688172043,True,False,True,True,2.6710710525512695,2.0149153829979363
12,0.45161290322580644,True,False,True,True,85.47979640960693,73.6358093489247
16,0.6021505376344086,True,False,True,True,95.23522400856018,88.65924267936143
20,0.7526881720430108,True,False,True,True,84.36837434768677,81.60583668461602
24,0.9032258064516129,True,False,True,True,37.86808633804321,26.976241528233775
28,1.053763440860215,True,False,True,True,17.35753345489502,12.788136352426491
32,1.2043010752688172,True,False,True,True,36.28646659851074,30.433706091806883
36,1.3548387096774193,True,False,True,True,41.8254599571228,36.223851438060386
40,1.5053763440860215,True,False,True,True,8.862958669662476,6.497525441425662
44,1.6559139784946235,True,False,True,True,26.33629846572876,23.589778985456697
