frame_idx,timestamp_sec,pose_present,left_hand_present,right_hand_present,face_present,motion_energy,bbox_shift
0,0.0,True,False,False,True,0.0,0.0
4,0.2724324324324324,True,False,True,True,7.133259296417236,6.022678750088201
8,0.5448648648648649,True,True,True,True,58.48580980300903,47.07500695167163
12,0.8172972972972974,True,True,True,True,29.907748222351074,22.81897751698018
16,1.0897297297297297,True,True,True,True,19.242807388305664,16.716656526454116
20,1.3621621621621622,True,True,True,True,39.8959801197052,36.71058793708982
24,1.6345945945945948,True,True,True,True,21.127753973007202,18.68454268679265
28,1.907027027027027,True,True,True,True,3.7462148666381836,2.736086481479185
32,2.1794594594594594,True,True,True,True,5.686612844467163,4.7803226273614605
36,2.451891891891892,True,True,True,True,17.459700345993042,15.768539824063701
