frame_idx,timestamp_sec,pose_present,left_hand_present,right_hand_present,face_present,motion_energy,bbox_shift
0,0.0,True,False,False,True,0.0,0.0
4,0.15609756097560976,True,False,False,True,8.447895526885986,7.802561852876347
8,0.3121951219512195,True,True,False,True,4.40282678604126,3.668518245859826
12,0.4682926829268293,True,True,True,True,32.35442113876343,24.032816535788314
16,0.624390243902439,True,True,False,True,54.454474449157715,42.301649214106305
20,0.7804878048780488,True,True,False,True,49.82321882247925,39.061997812499676
24,0.9365853658536586,True,True,True,True,31.208982467651367,25.207855196776762
28,1.0926829268292684,True,True,True,True,36.88254523277283,29.311817012515842
32,1.248780487804878,True,True,True,True,8.604862689971924,6.790012673689428
36,1.4048780487804877,True,True,True,True,4.41909646987915,3.416783018535135
40,1.5609756097560976,True,True,True,True,4.436988830566406,3.7470393718939654
44,1.7170731707317073,True,True,True,True,5.275647878646851,3.838049523339959
