frame_idx,timestamp_sec,pose_present,left_hand_present,right_hand_present,face_present,motion_energy,bbox_shift
0,0.0,True,True,False,True,0.0,0.0
4,0.16,True,True,True,True,159.40862846374512,144.46877295566088
8,0.32,True,True,True,True,170.53227376937866,141.32528650984182
12,0.48,True,True,True,True,38.86040019989014,31.354325443951634
16,0.64,True,True,True,True,117.3125159740448,86.0704833187589
20,0.8,True,True,True,True,105.8382933139801,82.32258917255292
24,0.96,True,True,True,True,145.45985531806946,109.88462391830089
28,1.12,True,True,True,True,85.34489369392395,70.2257497946037
32,1.28,True,True,False,True,32.731271266937256,30.48560410175648
36,1.44,True,True,True,True,53.264272689819336,41.665059485184386
40,1.6,True,True,True,True,21.604992151260376,17.71053631358026
44,1.76,True,True,True,True,15.554025888442993,13.204231104101119
