standard_frame_idx,query_frame_idx,standard_timestamp_sec,query_timestamp_sec,distance
0,0,0.0,0.0,0.024647528165951373
4,4,0.13582554517133957,0.16,0.04251546671614051
8,8,0.27165109034267915,0.32,0.04319315146654844
12,12,0.4074766355140187,0.48,0.044011264666914934
16,16,0.5433021806853583,0.64,0.04630745708942413
20,20,0.6791277258566979,0.8,0.04708175808191299
24,24,0.8149532710280374,0.96,0.04561935536563396
28,28,0.950778816199377,1.12,0.0826105109602213
32,32,1.0866043613707166,1.28,0.04575726024806499
36,36,1.222429906542056,1.44,0.07282715655863285
40,40,1.3582554517133958,1.6,0.07452640447765588
44,44,1.4940809968847353,1.76,0.07234042517840862
