case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,28,100.0,0.0,0.0
subsample_even,target_positive_variant,high,14,86.85944583909735,0.01319228857755661,0.014792288577556609
trim_start_20pct,target_positive_variant,high,22,72.52172183318196,0.019657916256359646,0.03373482603853503
trim_end_20pct,target_positive_variant,high,22,88.38313637825469,0.007359762809106282,0.01296634494690271
middle_60pct,target_positive_variant,high,16,70.78934537827706,0.02701768066201891,0.036273476990143085
amplitude_0.85,target_positive_variant,high,28,93.03025971578931,0.00031205818855336735,0.007585764109264657
amplitude_1.15,target_positive_variant,high,28,93.97538619164843,0.0002683601175834026,0.006524415138312325
fake_reverse_time,synthetic_fake_action,low,28,41.13036628919522,0.09328446717097841,0.09328446730470163
fake_shuffle_frames,synthetic_fake_action,low,28,42.143663240856796,0.051554662840706963,0.09072901436942421
fake_static_hold,synthetic_fake_action,low,28,14.42703035845389,0.043286996228354316,0.20328699622835428
fake_random_landmarks,synthetic_fake_action,low,28,0.06302732013414689,0.6295678274972099,0.7737825038638783
fake_random_walk,synthetic_fake_action,low,28,0.010757278684736159,0.89582245690482,0.9594209995192524
other_demo_singing,other_demo_action,low,14,9.665255977274587,0.19574642181396484,0.24534642181396485
other_demo_zhishi,other_demo_action,low,16,8.478967225761279,0.20071511609213694,0.2590960609666964
other_demo_moon,other_demo_action,low,24,4.551922887467262,0.20855646474020823,0.3244101451154162
other_demo_friend,other_demo_action,low,15,11.424113462568041,0.1740957157952445,0.22779160409173368
other_demo_car,other_demo_action,low,23,8.743652256933835,0.15426981754792043,0.25586843155017697
other_demo_tiger,other_demo_action,low,29,1.7803285628717944,0.28545641899108887,0.4229790865476692
other_demo_envy,other_demo_action,low,17,16.402935069556474,0.12688176093562956,0.18980953944905993
other_demo_jump,other_demo_action,low,10,10.306045699999247,0.11604614768709455,0.23860614768709454
other_demo_banana,other_demo_action,low,22,5.812708753591421,0.19802834306444442,0.2987379676179315
