case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,28,100.0,0.0,0.0
subsample_even,target_positive_variant,high,14,85.88948207333091,0.006907860083239419,0.015210880834420732
trim_start_20pct,target_positive_variant,high,22,77.03226954084829,0.014190237436975752,0.02609457669798945
trim_end_20pct,target_positive_variant,high,22,87.87672874662601,0.007514834936176028,0.012923516325843907
middle_60pct,target_positive_variant,high,16,72.19415199320257,0.021705073969704763,0.03258111406938353
amplitude_0.85,target_positive_variant,high,28,62.923102106443295,0.044057680027825494,0.046325680662231215
amplitude_1.15,target_positive_variant,high,28,63.12269862989898,0.044057680027825494,0.046008975640528776
fake_reverse_time,synthetic_fake_action,low,28,45.363752245401045,0.07904568085303673,0.07904568085303673
fake_shuffle_frames,synthetic_fake_action,low,28,51.857823586465614,0.04444490574501656,0.06566643738529788
fake_static_hold,synthetic_fake_action,low,28,35.432069529398355,0.04605528570356823,0.10375528570356823
fake_random_landmarks,synthetic_fake_action,low,28,0.10296404570342775,0.6413545608520508,0.6878545608520508
fake_random_walk,synthetic_fake_action,low,28,0.0003409462098243818,1.2227367673601424,1.2588956021561992
other_demo_sparse,other_demo_action,low,2,0.10504793316339056,0.16201729433877127,0.6858508712662008
other_demo_sparse,other_demo_action,low,2,0.2690189197925547,0.13770495993750437,0.5918143754040377
