case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,27,100.0,0.0,0.0
subsample_even,target_positive_variant,high,14,68.72238526943299,0.03751555232223326,0.04501142387282183
trim_start_20pct,target_positive_variant,high,22,58.72546173345595,0.0008181818181818182,0.06387561514024252
trim_end_20pct,target_positive_variant,high,22,88.47569207688048,0.0016363636363636363,0.014693080499967245
trim_both_10pct,target_positive_variant,high,21,64.69495885735623,0.001714285714285714,0.05225842838018288
amplitude_0.85,target_positive_variant,high,27,90.46094595833262,0.0003386080963560069,0.012030235775141092
amplitude_1.15,target_positive_variant,high,27,91.61405575329063,0.0002912566571560989,0.010510257478977754
fake_reverse_time,synthetic_fake_action,low,27,6.322106297413176,0.16015219176284476,0.3313341310135107
fake_shuffle_frames,synthetic_fake_action,low,27,8.331148418414932,0.11295911640766586,0.29822026487471526
fake_static_hold,synthetic_fake_action,low,27,0.933880057961233,0.11580548319515685,0.5608292943105629
fake_random_landmarks,synthetic_fake_action,low,27,6.239282813177902e-05,1.098318733693142,1.7144676490761563
fake_random_walk,synthetic_fake_action,low,27,0.00012137477832455694,1.1603230265965383,1.634615717245292
other_demo_指示,other_demo_action,low,30,1.6435079350745876,0.3090377537601346,0.4930004692465784
other_demo_月亮,other_demo_action,low,47,7.6208773406708925,0.23652279039077442,0.3089134423615511
other_demo_朋友,other_demo_action,low,28,2.8844338285176505,0.25110062578541037,0.4255009862281497
other_demo_汽车,other_demo_action,low,44,7.308355312841992,0.21728458481002952,0.31393823147328614
other_demo_花,other_demo_action,low,53,13.351504139284613,0.18994864972025252,0.24162493654550907
other_demo_虎,other_demo_action,low,54,5.094546134468681,0.3235853739630918,0.3572399524627975
other_demo_谗_羡慕,other_demo_action,low,32,4.459731253969719,0.27750136961041766,0.3732098014474925
other_demo_跳,other_demo_action,low,19,7.654834356525544,0.26849507509038223,0.3083799354853735
other_demo_香蕉,other_demo_action,low,42,7.463531310125872,0.247240663605689,0.3114169821367359
