standard_frame_idx,query_frame_idx,standard_timestamp_sec,query_timestamp_sec,distance,temporal_weighted_distance,frame_pair_weight,standard_frame_weight,query_frame_weight
0,0,0.0,0.0,0.0,0.0,0.565768837928772,0.565768837928772,0.565768837928772
0,2,0.0,0.08,0.0,0.0,0.565768837928772,0.565768837928772,0.565768837928772
0,4,0.0,0.16,0.0,0.0,0.565768837928772,0.565768837928772,0.565768837928772
2,4,0.08,0.16,0.0,0.0,0.565768837928772,0.565768837928772,0.565768837928772
4,4,0.16,0.16,0.0,0.0,0.565768837928772,0.565768837928772,0.565768837928772
6,6,0.24,0.24,0.0,0.0,0.953600525856018,0.9536005258560181,0.9536005258560181
8,8,0.32,0.32,0.0,0.0,1.6984697580337522,1.6984697580337524,1.6984697580337524
10,10,0.4,0.4,0.0,0.0,2.1067018508911133,2.1067018508911133,2.1067018508911133
12,12,0.48,0.48,0.0,0.0,2.1936323642730713,2.1936323642730713,2.1936323642730713
14,14,0.56,0.56,0.0,0.0,2.1990201473236084,2.1990201473236084,2.1990201473236084
16,16,0.64,0.64,0.0,0.0,2.181955575942993,2.181955575942993,2.181955575942993
18,18,0.72,0.72,0.0,0.0,1.901780366897583,1.901780366897583,1.901780366897583
20,20,0.8,0.8,0.0,0.0,1.4681158065795898,1.4681158065795898,1.4681158065795898
22,22,0.88,0.88,0.0,0.0,1.2029041051864624,1.2029041051864624,1.2029041051864624
24,24,0.96,0.96,0.0,0.0,1.0757662057876587,1.0757662057876587,1.0757662057876587
26,26,1.04,1.04,0.0,0.0,0.9532929062843323,0.9532929062843323,0.9532929062843323
28,28,1.12,1.12,0.0,0.0,0.8103258013725281,0.8103258013725281,0.8103258013725281
30,30,1.2,1.2,0.0,0.0,0.6167189478874207,0.6167189478874207,0.6167189478874207
32,32,1.28,1.28,0.0,0.0,0.5659813284873962,0.5659813284873962,0.5659813284873962
34,34,1.36,1.36,0.0,0.0,0.748675525188446,0.748675525188446,0.748675525188446
36,36,1.44,1.44,0.0,0.0,0.9545506834983826,0.9545506834983826,0.9545506834983826
38,38,1.52,1.52,0.0,0.0,1.0668121576309204,1.0668121576309204,1.0668121576309204
40,40,1.6,1.6,0.0,0.0,1.1337834596633911,1.1337834596633911,1.1337834596633911
42,42,1.68,1.68,0.0,0.0,1.1391656398773193,1.1391656398773193,1.1391656398773193
44,44,1.76,1.76,0.0,0.0,1.0204856395721436,1.0204856395721436,1.0204856395721436
46,46,1.84,1.84,0.0,0.0,0.8460977077484131,0.8460977077484131,0.8460977077484131
48,48,1.92,1.92,0.0,0.0,0.686286985874176,0.686286985874176,0.686286985874176
50,50,2.0,2.0,0.0,0.0,0.565768837928772,0.565768837928772,0.565768837928772
52,52,2.08,2.08,0.0,0.0,0.565768837928772,0.565768837928772,0.565768837928772
54,54,2.16,2.16,0.0,0.0,0.565768837928772,0.565768837928772,0.565768837928772
56,56,2.24,2.24,0.0,0.0,0.565768837928772,0.565768837928772,0.565768837928772
58,58,2.32,2.32,0.0,0.0,0.565768837928772,0.565768837928772,0.565768837928772
60,60,2.4,2.4,0.0,0.0,0.565768837928772,0.565768837928772,0.565768837928772
62,62,2.48,2.48,0.0,0.0,0.565768837928772,0.565768837928772,0.565768837928772
64,64,2.56,2.56,0.0,0.0,0.565768837928772,0.565768837928772,0.565768837928772
66,66,2.64,2.64,0.0,0.0,0.565768837928772,0.565768837928772,0.565768837928772
68,68,2.72,2.72,0.0,0.0,0.565768837928772,0.565768837928772,0.565768837928772
70,70,2.8,2.8,0.0,0.0,0.565768837928772,0.565768837928772,0.565768837928772
72,72,2.88,2.88,0.0,0.0,0.7193122506141663,0.7193122506141663,0.7193122506141663
74,74,2.96,2.96,0.0,0.0,0.9576464295387268,0.9576464295387268,0.9576464295387268
76,76,3.04,3.04,0.0,0.0,1.0831115245819092,1.0831115245819092,1.0831115245819092
78,78,3.12,3.12,0.0,0.0,1.0465167760849,1.0465167760849,1.0465167760849
80,80,3.2,3.2,0.0,0.0,1.0921010971069336,1.0921010971069336,1.0921010971069336
82,82,3.28,3.28,0.0,0.0,1.340376377105713,1.340376377105713,1.340376377105713
84,84,3.36,3.36,0.0,0.0,1.5122915506362915,1.5122915506362915,1.5122915506362915
86,86,3.44,3.44,0.0,0.0,1.4300822019577024,1.4300822019577026,1.4300822019577026
88,88,3.52,3.52,0.0,0.0,1.1081879138946533,1.1081879138946533,1.1081879138946533
90,90,3.6,3.6,0.0,0.0,0.6997174620628357,0.6997174620628357,0.6997174620628357
92,92,3.68,3.68,0.0,0.0,0.565768837928772,0.565768837928772,0.565768837928772
