case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,28,100.0,0.0,0.0
subsample_even,target_positive_variant,high,14,65.33367037602544,0.03932506245112756,0.05107951879467296
trim_start_20pct,target_positive_variant,high,22,80.04812255093849,0.0008181818181818182,0.026950518578486213
trim_end_20pct,target_positive_variant,high,22,87.30362519270031,0.0008181818181818182,0.016538838343269278
trim_both_10pct,target_positive_variant,high,22,83.08511475752887,0.0022043673185549797,0.022897865151109725
amplitude_0.85,target_positive_variant,high,28,84.57788849155884,0.0003351924193353853,0.020200235992095802
amplitude_1.15,target_positive_variant,high,28,86.40308785188294,0.00028869736248547965,0.017624221823579516
fake_reverse_time,synthetic_fake_action,low,28,13.543902573645669,0.05342523858298126,0.2399080481406258
fake_shuffle_frames,synthetic_fake_action,low,28,19.352241903730867,0.05018440110776,0.19708342950788427
fake_static_hold,synthetic_fake_action,low,28,0.45183038244967066,0.07463640778177075,0.6479542338759331
fake_random_landmarks,synthetic_fake_action,low,28,0.01174481699580933,0.4036519637784012,1.0859416114123066
fake_random_walk,synthetic_fake_action,low,28,0.00022932157375868414,0.8321034657341073,1.558266656786027
other_demo_唱歌,other_demo_action,low,27,2.199581539612386,0.18627984972258183,0.4580283663579594
other_demo_指示,other_demo_action,low,30,2.6894878925344887,0.23635617831243028,0.4338983262024442
other_demo_月亮,other_demo_action,low,47,19.33855908651781,0.11754576345468144,0.19716830436660998
other_demo_汽车,other_demo_action,low,44,21.782844906879212,0.048613882589906884,0.18288569482353423
other_demo_花,other_demo_action,low,53,21.573817079703424,0.09902038641712806,0.18404277345707232
other_demo_虎,other_demo_action,low,54,7.158879825541666,0.20320322093160534,0.3164179999441974
other_demo_谗_羡慕,other_demo_action,low,32,16.10583009569114,0.11788055343707397,0.21911866341620273
other_demo_跳,other_demo_action,low,19,13.603711957042453,0.134797066741327,0.23937929909628747
other_demo_香蕉,other_demo_action,low,42,24.093147048851403,0.09739232189380069,0.17078912888969078
