case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,54,100.0,0.0,0.0
subsample_even,target_positive_variant,high,27,70.12764574661084,0.03453778311713424,0.04258237126200286
trim_start_20pct,target_positive_variant,high,43,68.90135879076473,0.0008372093023255813,0.04469931443540507
trim_end_20pct,target_positive_variant,high,43,78.11940033774273,0.00041860465116279067,0.029631810741269155
trim_both_10pct,target_positive_variant,high,44,85.35037078141369,0.000692593967886821,0.01900864710130463
amplitude_0.85,target_positive_variant,high,54,90.26573736645503,0.00025023907758281547,0.012289467447014252
amplitude_1.15,target_positive_variant,high,54,91.34389500825439,0.00021549285939788157,0.010864648341272496
fake_reverse_time,synthetic_fake_action,low,54,15.132412245789487,0.07375892485804439,0.22659974835322913
fake_shuffle_frames,synthetic_fake_action,low,54,6.118576508045092,0.07077361888841195,0.33526088558919936
fake_static_hold,synthetic_fake_action,low,54,0.3148031820807726,0.21523372928815168,0.6913173408259682
fake_random_landmarks,synthetic_fake_action,low,54,0.0029367712359420614,0.5813924129599024,1.2522737647405684
fake_random_walk,synthetic_fake_action,low,54,0.0004354758372396692,0.8483986628611629,1.4813089718401407
other_demo_唱歌,other_demo_action,low,27,5.948629897450787,0.2840381603075036,0.3386411114739131
other_demo_指示,other_demo_action,low,30,5.823195291127383,0.26782115190147066,0.34119852669678435
other_demo_月亮,other_demo_action,low,47,10.236274439910996,0.12948852367213115,0.2735078948165115
other_demo_朋友,other_demo_action,low,28,7.691901807483481,0.2354499349158951,0.30780025486569684
other_demo_汽车,other_demo_action,low,44,32.33906396308488,0.07513728398128973,0.13546731310626722
other_demo_花,other_demo_action,low,53,2.1927197865286145,0.1263906202087958,0.4584033001244605
other_demo_谗_羡慕,other_demo_action,low,32,10.272279090224302,0.16794917309417717,0.27308655232933343
other_demo_跳,other_demo_action,low,19,6.96293105016694,0.17832192902806446,0.31974836068724155
other_demo_香蕉,other_demo_action,low,42,7.964459407258027,0.17995017953569944,0.3036217339149502
