case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,42,100.0,0.0,0.0
subsample_even,target_positive_variant,high,21,78.4161755457501,0.02264663832576814,0.03597078659888846
trim_start_20pct,target_positive_variant,high,34,51.974536354538174,0.0010588235294117646,0.07852995273976911
trim_end_20pct,target_positive_variant,high,34,81.87030720536424,0.0010588235294117646,0.024321704288947966
trim_both_10pct,target_positive_variant,high,34,85.78291746582488,0.0010588235294117646,0.01871968263300935
amplitude_0.85,target_positive_variant,high,42,83.81627972892186,0.00031773040924887487,0.021280470545924936
amplitude_1.15,target_positive_variant,high,42,85.62494173632184,0.00027365221086607985,0.018705324046177724
fake_reverse_time,synthetic_fake_action,low,42,11.462307916273517,0.04637988239303391,0.25993273273475137
fake_shuffle_frames,synthetic_fake_action,low,42,5.1045376177856285,0.049511472997810536,0.3570048375425334
fake_static_hold,synthetic_fake_action,low,42,0.17928130920091284,0.14092296388132564,0.7588763199546745
fake_random_landmarks,synthetic_fake_action,low,42,0.015981616715620154,0.3311552074299679,1.0489783630271174
fake_random_walk,synthetic_fake_action,low,42,0.00023144915773914298,0.7383575405444511,1.5571584618652226
other_demo_唱歌,other_demo_action,low,27,5.182839988710985,0.24345713711354453,0.3551780423505106
other_demo_指示,other_demo_action,low,30,17.3402453269327,0.11341732301147263,0.21025680800405322
other_demo_月亮,other_demo_action,low,47,12.118007264202816,0.10100586082939533,0.25325731632118625
other_demo_朋友,other_demo_action,low,28,26.550500830329778,0.0841197643997832,0.15913458897745864
other_demo_汽车,other_demo_action,low,44,16.726970003138206,0.04012079868605883,0.2145777358775661
other_demo_花,other_demo_action,low,53,8.05385156328161,0.0492291590380065,0.3022823704697652
other_demo_虎,other_demo_action,low,54,8.063164110816267,0.10608379166201268,0.30214369643095795
other_demo_谗_羡慕,other_demo_action,low,32,15.786439663798008,0.09928832733983234,0.2215222636306227
other_demo_跳,other_demo_action,low,19,19.769977463955488,0.11073802316902785,0.1945206826460904
