standard_frame_idx,query_frame_idx,standard_timestamp_sec,query_timestamp_sec,distance,base_distance,semantic_phase_gap,semantic_phase_penalty,temporal_weighted_distance,frame_pair_weight,standard_frame_weight,query_frame_weight,standard_semantic_phase,query_semantic_phase
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.024586796760559,1.024586796760559,1.024586796760559,0.01949671469628811,0.01949671469628811
2,2,0.08,0.08,0.0,0.0,0.0,0.0,0.0,1.552952527999878,1.552952527999878,1.552952527999878,0.09411274641752243,0.09411274641752243
4,4,0.16,0.16,0.0,0.0,0.0,0.0,0.0,1.8852661848068237,1.8852661848068237,1.8852661848068237,0.22675608098506927,0.22675608098506927
6,6,0.24,0.24,0.0,0.0,0.0,0.0,0.0,1.5746544599533079,1.574654459953308,1.574654459953308,0.3608625829219818,0.3608625829219818
8,8,0.32,0.32,0.0,0.0,0.0,0.0,0.0,0.9691697955131531,0.9691697955131531,0.9691697955131531,0.4332055151462555,0.4332055151462555
10,10,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.7271883487701416,0.7271883487701416,0.7271883487701416,0.44896599650382996,0.44896599650382996
12,12,0.48,0.48,0.0,0.0,0.0,0.0,0.0,0.8514277935028076,0.8514277935028076,0.8514277935028076,0.4567882716655731,0.4567882716655731
14,14,0.56,0.56,0.0,0.0,0.0,0.0,0.0,1.0372203588485718,1.0372203588485718,1.0372203588485718,0.48495903611183167,0.48495903611183167
16,16,0.64,0.64,0.0,0.0,0.0,0.0,0.0,1.0797730684280396,1.0797730684280396,1.0797730684280396,0.5285248756408691,0.5285248756408691
18,18,0.72,0.72,0.0,0.0,0.0,0.0,0.0,0.9211490154266357,0.9211490154266357,0.9211490154266357,0.5642651915550232,0.5642651915550232
20,20,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8554109334945679,0.8554109334945679,0.8554109334945679,0.5848789215087891,0.5848789215087891
22,22,0.88,0.88,0.0,0.0,0.0,0.0,0.0,1.0113043785095215,1.0113043785095215,1.0113043785095215,0.6115709543228149,0.6115709543228149
24,24,0.96,0.96,0.0,0.0,0.0,0.0,0.0,1.1480556726455688,1.1480556726455688,1.1480556726455688,0.6579931974411011,0.6579931974411011
26,26,1.04,1.04,0.0,0.0,0.0,0.0,0.0,1.1056444644927979,1.1056444644927979,1.1056444644927979,0.7107758522033691,0.7107758522033691
28,28,1.12,1.12,0.0,0.0,0.0,0.0,0.0,1.0564061403274536,1.0564061403274536,1.0564061403274536,0.7573795318603516,0.7573795318603516
30,30,1.2,1.2,0.0,0.0,0.0,0.0,0.0,1.211539387702942,1.211539387702942,1.211539387702942,0.8111225962638855,0.8111225962638855
32,32,1.28,1.28,0.0,0.0,0.0,0.0,0.0,1.2515335083007812,1.2515335083007812,1.2515335083007812,0.8780212998390198,0.8780212998390198
34,34,1.36,1.36,0.0,0.0,0.0,0.0,0.0,0.9849745631217957,0.9849745631217957,0.9849745631217957,0.9296448826789856,0.9296448826789856
36,36,1.44,1.44,0.0,0.0,0.0,0.0,0.0,0.7248492240905762,0.7248492240905762,0.7248492240905762,0.9464709162712097,0.9464709162712097
38,38,1.52,1.52,0.0,0.0,0.0,0.0,0.0,0.6390562057495117,0.6390562057495117,0.6390562057495117,0.9464709162712097,0.9464709162712097
40,40,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.6425073742866516,0.6425073742866516,0.6425073742866516,0.9464709162712097,0.9464709162712097
42,42,1.68,1.68,0.0,0.0,0.0,0.0,0.0,0.6830486059188843,0.6830486059188843,0.6830486059188843,0.9464709162712097,0.9464709162712097
44,44,1.76,1.76,0.0,0.0,0.0,0.0,0.0,0.7236794233322144,0.7236794233322144,0.7236794233322144,0.9464709162712097,0.9464709162712097
46,46,1.84,1.84,0.0,0.0,0.0,0.0,0.0,0.7682733535766602,0.7682733535766602,0.7682733535766602,0.9486868977546692,0.9486868977546692
48,48,1.92,1.92,0.0,0.0,0.0,0.0,0.0,0.8523497581481934,0.8523497581481934,0.8523497581481934,0.9587873220443726,0.9587873220443726
50,50,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8945617079734802,0.8945617079734802,0.8945617079734802,0.9774020910263062,0.9774020910263062
52,52,2.08,2.08,0.0,0.0,0.0,0.0,0.0,0.8234171867370605,0.8234171867370605,0.8234171867370605,0.9940662980079651,0.9940662980079651
