standard_frame_idx,query_frame_idx,standard_timestamp_sec,query_timestamp_sec,distance,base_distance,semantic_phase_gap,semantic_phase_penalty,temporal_weighted_distance,frame_pair_weight,standard_frame_weight,query_frame_weight,standard_semantic_phase,query_semantic_phase
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7189881205558776,0.7189881205558777,0.7189881205558777,0.0,0.0
0,2,0.0,0.08966101694915253,0.0,0.0,0.0,0.0,0.0,0.7189881205558776,0.7189881205558777,0.7189881205558777,0.0,0.0
0,4,0.0,0.17932203389830506,0.0,0.0,0.0,0.0,0.0,0.7189881205558776,0.7189881205558777,0.7189881205558777,0.0,0.0
2,4,0.08966101694915253,0.17932203389830506,0.0,0.0,0.0,0.0,0.0,0.7189881205558776,0.7189881205558777,0.7189881205558777,0.0,0.0
4,4,0.17932203389830506,0.17932203389830506,0.0,0.0,0.0,0.0,0.0,0.7189881205558776,0.7189881205558777,0.7189881205558777,0.0,0.0
6,6,0.2689830508474576,0.2689830508474576,0.0,0.0,0.0,0.0,0.0,1.0012099742889404,1.0012099742889404,1.0012099742889404,0.01673843525350094,0.01673843525350094
8,8,0.3586440677966101,0.3586440677966101,0.0,0.0,0.0,0.0,0.0,1.6002599000930786,1.6002599000930786,1.6002599000930786,0.08574465662240982,0.08574465662240982
10,10,0.4483050847457627,0.4483050847457627,0.0,0.0,0.0,0.0,0.0,1.8375258445739746,1.8375258445739746,1.8375258445739746,0.20435234904289246,0.20435234904289246
12,12,0.5379661016949152,0.5379661016949152,0.0,0.0,0.0,0.0,0.0,1.6970292329788208,1.6970292329788208,1.6970292329788208,0.32869938015937805,0.32869938015937805
14,14,0.6276271186440677,0.6276271186440677,0.0,0.0,0.0,0.0,0.0,1.3979703187942505,1.3979703187942505,1.3979703187942505,0.42697659134864807,0.42697659134864807
16,16,0.7172881355932202,0.7172881355932202,0.0,0.0,0.0,0.0,0.0,1.1972179412841797,1.1972179412841797,1.1972179412841797,0.4956102669239044,0.4956102669239044
18,18,0.8069491525423729,0.8069491525423729,0.0,0.0,0.0,0.0,0.0,1.0821841955184937,1.0821841955184937,1.0821841955184937,0.5455148220062256,0.5455148220062256
20,20,0.8966101694915254,0.8966101694915254,0.0,0.0,0.0,0.0,0.0,0.9418428540229797,0.9418428540229797,0.9418428540229797,0.5802732110023499,0.5802732110023499
22,22,0.9862711864406779,0.9862711864406779,0.0,0.0,0.0,0.0,0.0,0.9358523488044738,0.9358523488044739,0.9358523488044739,0.606352686882019,0.606352686882019
24,24,1.0759322033898304,1.0759322033898304,0.0,0.0,0.0,0.0,0.0,1.013655185699463,1.013655185699463,1.013655185699463,0.6366913318634033,0.6366913318634033
26,26,1.165593220338983,1.165593220338983,0.0,0.0,0.0,0.0,0.0,1.0003477334976196,1.0003477334976196,1.0003477334976196,0.6708552241325378,0.6708552241325378
28,28,1.2552542372881355,1.2552542372881355,0.0,0.0,0.0,0.0,0.0,1.0067214965820312,1.0067214965820312,1.0067214965820312,0.7046078443527222,0.7046078443527222
30,30,1.344915254237288,1.344915254237288,0.0,0.0,0.0,0.0,0.0,1.1031080484390259,1.1031080484390259,1.1031080484390259,0.744455099105835,0.744455099105835
32,32,1.4345762711864405,1.4345762711864405,0.0,0.0,0.0,0.0,0.0,1.1754881143569946,1.1754881143569946,1.1754881143569946,0.7943118810653687,0.7943118810653687
34,34,1.524237288135593,1.524237288135593,0.0,0.0,0.0,0.0,0.0,1.2294045686721802,1.2294045686721802,1.2294045686721802,0.8516591787338257,0.8516591787338257
36,36,1.6138983050847457,1.6138983050847457,0.0,0.0,0.0,0.0,0.0,1.2350908517837524,1.2350908517837524,1.2350908517837524,0.9125415086746216,0.9125415086746216
38,38,1.7035593220338983,1.7035593220338983,0.0,0.0,0.0,0.0,0.0,1.0737390518188477,1.0737390518188477,1.0737390518188477,0.9641914367675781,0.9641914367675781
40,40,1.7932203389830508,1.7932203389830508,0.0,0.0,0.0,0.0,0.0,0.8434919714927672,0.8434919714927673,0.8434919714927673,0.9926157593727112,0.9926157593727112
42,42,1.8828813559322033,1.8828813559322033,0.0,0.0,0.0,0.0,0.0,0.7189881205558776,0.7189881205558777,0.7189881205558777,1.0,1.0
44,44,1.9725423728813558,1.9725423728813558,0.0,0.0,0.0,0.0,0.0,0.7189881205558776,0.7189881205558777,0.7189881205558777,1.0,1.0
46,46,2.0622033898305085,2.0622033898305085,0.0,0.0,0.0,0.0,0.0,0.7189881205558776,0.7189881205558777,0.7189881205558777,1.0,1.0
48,48,2.151864406779661,2.151864406779661,0.0,0.0,0.0,0.0,0.0,0.7189881205558776,0.7189881205558777,0.7189881205558777,1.0,1.0
50,50,2.2415254237288136,2.2415254237288136,0.0,0.0,0.0,0.0,0.0,0.7189881205558776,0.7189881205558777,0.7189881205558777,1.0,1.0
52,52,2.331186440677966,2.331186440677966,0.0,0.0,0.0,0.0,0.0,0.7189881205558776,0.7189881205558777,0.7189881205558777,1.0,1.0
54,54,2.4208474576271186,2.4208474576271186,0.0,0.0,0.0,0.0,0.0,0.7189881205558776,0.7189881205558777,0.7189881205558777,1.0,1.0
56,56,2.510508474576271,2.510508474576271,0.0,0.0,0.0,0.0,0.0,0.7189881205558776,0.7189881205558777,0.7189881205558777,1.0,1.0
58,58,2.6001694915254236,2.6001694915254236,0.0,0.0,0.0,0.0,0.0,0.7189881205558776,0.7189881205558777,0.7189881205558777,1.0,1.0
