standard_frame_idx,query_frame_idx,standard_timestamp_sec,query_timestamp_sec,distance,base_distance,semantic_phase_gap,semantic_phase_penalty,temporal_weighted_distance,frame_pair_weight,standard_frame_weight,query_frame_weight,standard_semantic_phase,query_semantic_phase
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5618634223937988,0.5618634223937988,0.5618634223937988,0.0,0.0
2,2,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.5618634223937988,0.5618634223937988,0.5618634223937988,0.0,0.0
4,4,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.5618634223937988,0.5618634223937988,0.5618634223937988,0.0,0.0
6,6,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.5618634223937988,0.5618634223937988,0.5618634223937988,0.0,0.0
6,8,0.24,0.32,0.0,0.0,0.0,0.0,0.0,0.5618634223937988,0.5618634223937988,0.5618634223937988,0.0,0.0
6,10,0.24,0.4,0.0,0.0,0.0,0.0,0.0,0.5618634223937988,0.5618634223937988,0.5618634223937988,0.0,0.0
8,10,0.32,0.4,0.0,0.0,0.0,0.0,0.0,0.5618634223937988,0.5618634223937988,0.5618634223937988,0.0,0.0
10,10,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.5618634223937988,0.5618634223937988,0.5618634223937988,0.0,0.0
12,12,0.48,0.48,0.0,0.0,0.0,0.0,0.0,0.6947299838066101,0.6947299838066101,0.6947299838066101,0.0035914427135139704,0.0035914427135139704
14,14,0.56,0.56,0.0,0.0,0.0,0.0,0.0,0.9581355452537536,0.9581355452537537,0.9581355452537537,0.02264094166457653,0.02264094166457653
16,16,0.64,0.64,0.0,0.0,0.0,0.0,0.0,1.1666275262832642,1.1666275262832642,1.1666275262832642,0.0629497691988945,0.0629497691988945
18,18,0.72,0.72,0.0,0.0,0.0,0.0,0.0,1.238587737083435,1.238587737083435,1.238587737083435,0.1158931776881218,0.1158931776881218
20,20,0.8,0.8,0.0,0.0,0.0,0.0,0.0,1.0667698383331299,1.0667698383331299,1.0667698383331299,0.1643379181623459,0.1643379181623459
22,22,0.88,0.88,0.0,0.0,0.0,0.0,0.0,0.8649696111679076,0.8649696111679077,0.8649696111679077,0.19595089554786682,0.19595089554786682
24,24,0.96,0.96,0.0,0.0,0.0,0.0,0.0,0.8181411623954773,0.8181411623954773,0.8181411623954773,0.21636296808719635,0.21636296808719635
26,26,1.04,1.04,0.0,0.0,0.0,0.0,0.0,0.8204563856124877,0.8204563856124878,0.8204563856124878,0.23476968705654144,0.23476968705654144
28,28,1.12,1.12,0.0,0.0,0.0,0.0,0.0,0.8160940408706665,0.8160940408706665,0.8160940408706665,0.2530841827392578,0.2530841827392578
30,30,1.2,1.2,0.0,0.0,0.0,0.0,0.0,1.0057929754257202,1.0057929754257202,1.0057929754257202,0.27974820137023926,0.27974820137023926
32,32,1.28,1.28,0.0,0.0,0.0,0.0,0.0,1.437930345535278,1.4379303455352783,1.4379303455352783,0.3344264328479767,0.3344264328479767
34,34,1.36,1.36,0.0,0.0,0.0,0.0,0.0,1.6604095697402954,1.6604095697402954,1.6604095697402954,0.4185956120491028,0.4185956120491028
36,36,1.44,1.44,0.0,0.0,0.0,0.0,0.0,1.4792102575302124,1.4792102575302124,1.4792102575302124,0.5046244859695435,0.5046244859695435
38,38,1.52,1.52,0.0,0.0,0.0,0.0,0.0,1.2843397855758667,1.2843397855758667,1.2843397855758667,0.5737111568450928,0.5737111568450928
40,40,1.6,1.6,0.0,0.0,0.0,0.0,0.0,1.2974579334259033,1.2974579334259033,1.2974579334259033,0.6346096992492676,0.6346096992492676
42,42,1.68,1.68,0.0,0.0,0.0,0.0,0.0,1.3626766204833984,1.3626766204833984,1.3626766204833984,0.6990374326705933,0.6990374326705933
44,44,1.76,1.76,0.0,0.0,0.0,0.0,0.0,1.4307050704956052,1.4307050704956055,1.4307050704956055,0.7694680094718933,0.7694680094718933
46,46,1.84,1.84,0.0,0.0,0.0,0.0,0.0,1.3995471000671387,1.3995471000671387,1.3995471000671387,0.841559648513794,0.841559648513794
48,48,1.92,1.92,0.0,0.0,0.0,0.0,0.0,1.1770626306533813,1.1770626306533813,1.1770626306533813,0.9022244811058044,0.9022244811058044
50,50,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.9944117069244385,0.9944117069244385,0.9944117069244385,0.9446377158164978,0.9446377158164978
52,52,2.08,2.08,0.0,0.0,0.0,0.0,0.0,0.9062762260437011,0.9062762260437012,0.9062762260437012,0.9748517870903015,0.9748517870903015
53,53,2.12,2.12,0.0,0.0,0.0,0.0,0.0,0.7484875917434692,0.7484875917434692,0.7484875917434692,0.9939867854118347,0.9939867854118347
