case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,54,100.0,0.0,0.0
subsample_even,target_positive_variant,high,27,63.00466807925491,0.03505407794863801,0.05543536390145505
trim_start_20pct,target_positive_variant,high,43,77.52205331409186,0.0009964162522228207,0.030552927745978137
trim_end_20pct,target_positive_variant,high,43,76.70125310968041,0.0008841843200229926,0.03183025679314322
trim_both_10pct,target_positive_variant,high,44,84.20929154503794,0.0011568130317217303,0.0206237903924202
amplitude_0.85,target_positive_variant,high,54,94.41240287123223,0.0002625567986937068,0.006899728214312102
amplitude_1.15,target_positive_variant,high,54,95.0476225734981,0.00022460782386084582,0.0060950555693020676
fake_reverse_time,synthetic_fake_action,low,54,12.608847746207354,0.08052739633660319,0.24849256996550825
fake_shuffle_frames,synthetic_fake_action,low,54,3.651602916993741,0.07494662481508435,0.397200475134411
fake_static_hold,synthetic_fake_action,low,54,0.13010607377558864,0.2684783497874877,0.7973490474123233
fake_random_landmarks,synthetic_fake_action,low,54,0.000975073005855996,0.5792965302707429,1.384580207754804
fake_random_walk,synthetic_fake_action,low,54,0.0001169905431406347,0.8570868562002099,1.6390305168335015
other_demo_唱歌,other_demo_action,low,27,3.4166587186067923,0.2920474188891176,0.4051808514403099
other_demo_指示,other_demo_action,low,30,3.1125376721203435,0.27266159881732815,0.41636781849336385
other_demo_月亮,other_demo_action,low,47,5.831250754303695,0.13784274186876294,0.34103264052230153
other_demo_朋友,other_demo_action,low,28,4.455518776315713,0.24160412475493478,0.37332320204857095
other_demo_汽车,other_demo_action,low,44,17.61089624744083,0.08255475369862565,0.20839828446506098
other_demo_花,other_demo_action,low,53,1.7600752253957106,0.1290846168730567,0.4847776363379187
other_demo_谗_羡慕,other_demo_action,low,32,6.5713168739375645,0.17396458375251558,0.3266947123371662
other_demo_跳,other_demo_action,low,19,4.6793338473627335,0.18208573735424188,0.3674417311796384
other_demo_香蕉,other_demo_action,low,42,5.190237248463946,0.19253449034890477,0.3550068932689928
