case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,27,100.0,0.0,0.0
subsample_even,target_positive_variant,high,14,63.063170745618756,0.03855915412971599,0.0553239902072117
trim_start_20pct,target_positive_variant,high,22,58.67187404680541,0.0029807832091634902,0.06398516656748653
trim_end_20pct,target_positive_variant,high,22,90.76952970750042,0.001827823894342649,0.011621583912914912
trim_both_10pct,target_positive_variant,high,21,65.76194990316293,0.0037655737046368796,0.05029545406412218
amplitude_0.85,target_positive_variant,high,27,94.49655540898874,0.00034531329105293737,0.006792816342152274
amplitude_1.15,target_positive_variant,high,27,95.17860313167019,0.0002946406741300055,0.005929803176722475
fake_reverse_time,synthetic_fake_action,low,27,5.235638826532935,0.16805130243792665,0.35396175830512855
fake_shuffle_frames,synthetic_fake_action,low,27,6.523721616324342,0.11736435740205407,0.3275670207413001
fake_static_hold,synthetic_fake_action,low,27,0.6191612139765306,0.148506037193028,0.6101471740300083
fake_random_landmarks,synthetic_fake_action,low,27,2.314409170907177e-05,1.1089339762457449,1.8334729456493273
fake_random_walk,synthetic_fake_action,low,27,4.725118360197784e-05,1.1632629933568313,1.7478243648658853
other_demo_指示,other_demo_action,low,30,1.226542730382656,0.3159603061368361,0.5281164915112657
other_demo_月亮,other_demo_action,low,47,5.730027197409988,0.24306628800745358,0.34313398905345815
other_demo_朋友,other_demo_action,low,28,2.2760905301224703,0.2578181388206566,0.45392530734462827
other_demo_汽车,other_demo_action,low,44,6.022817865394268,0.22435776204376737,0.3371537942678334
other_demo_花,other_demo_action,low,53,10.295930494640427,0.19415356968829411,0.2728105759718221
other_demo_虎,other_demo_action,low,54,3.9406781288623924,0.325382039941614,0.3880580836276423
other_demo_谗_羡慕,other_demo_action,low,32,3.3897917062817617,0.28038902871654864,0.4061282052069801
other_demo_跳,other_demo_action,low,19,5.97393487086021,0.2703948628989156,0.3381317242023195
other_demo_香蕉,other_demo_action,low,42,5.6748843472267225,0.25650318816720513,0.34429440026059144
