case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,30,100.0,0.0,0.0
subsample_even,target_positive_variant,high,15,83.37117660236981,0.01705519958529579,0.03290998460801596
trim_start_20pct,target_positive_variant,high,24,49.75676071857053,0.0017207589990626332,0.08376286053307287
trim_end_20pct,target_positive_variant,high,24,89.50926528212278,0.0007544116017092187,0.013789732744323553
trim_both_10pct,target_positive_variant,high,24,91.97944451917479,0.001505197861137429,0.011010986174835037
amplitude_0.85,target_positive_variant,high,30,90.59971184485063,0.0003250430409492483,0.01205757639237238
amplitude_1.15,target_positive_variant,high,30,91.67123347250148,0.0002815412534060867,0.010618388838382776
fake_reverse_time,synthetic_fake_action,low,30,8.678759061795619,0.05090377424618507,0.29331499593207055
fake_shuffle_frames,synthetic_fake_action,low,30,4.339741380230209,0.05795848308955028,0.37648265153520344
fake_static_hold,synthetic_fake_action,low,30,0.3482349202658237,0.0729336182825459,0.6792057785651938
fake_random_landmarks,synthetic_fake_action,low,30,0.0013953524566319886,0.49703841404452603,1.3415734109430555
fake_random_walk,synthetic_fake_action,low,30,2.1933584470395647e-06,1.0469907873621498,2.1162296204796913
other_demo_唱歌,other_demo_action,low,27,0.2848541270685838,0.36267886514023934,0.7033137900696984
other_demo_月亮,other_demo_action,low,47,8.370059335188344,0.10989369430909325,0.29766110549771624
other_demo_朋友,other_demo_action,low,28,2.533400859125575,0.18952788452957225,0.44107290873613936
other_demo_汽车,other_demo_action,low,44,12.416396045736084,0.049001653708763006,0.2503382790050906
other_demo_花,other_demo_action,low,53,13.847173277958898,0.12044529945821054,0.23725068835671437
other_demo_虎,other_demo_action,low,54,2.1806206746921424,0.2401790325643988,0.45906727638583933
other_demo_谗_羡慕,other_demo_action,low,32,3.9850811834627726,0.10037475004262444,0.38671350020301
other_demo_跳,other_demo_action,low,19,4.6893379960816395,0.23023664548746767,0.3671854518857057
other_demo_香蕉,other_demo_action,low,42,8.872130134972407,0.14659232099707623,0.2906706321592683
