standard_frame_idx,query_frame_idx,standard_timestamp_sec,query_timestamp_sec,distance,base_distance,semantic_phase_gap,semantic_phase_penalty,temporal_weighted_distance,frame_pair_weight,standard_frame_weight,query_frame_weight,standard_semantic_phase,query_semantic_phase
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.565886914730072,0.565886914730072,0.565886914730072,0.0,0.0
0,2,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.565886914730072,0.565886914730072,0.565886914730072,0.0,0.0
0,4,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.565886914730072,0.565886914730072,0.565886914730072,0.0,0.0
2,4,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.565886914730072,0.565886914730072,0.565886914730072,0.0,0.0
4,4,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.565886914730072,0.565886914730072,0.565886914730072,0.0,0.0
6,6,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.9460587501525878,0.9460587501525879,0.9460587501525879,0.009316422045230865,0.009316422045230865
8,8,0.32,0.32,0.0,0.0,0.0,0.0,0.0,1.7018932104110718,1.7018932104110718,1.7018932104110718,0.04647160694003105,0.04647160694003105
10,10,0.4,0.4,0.0,0.0,0.0,0.0,0.0,2.1230201721191406,2.1230201721191406,2.1230201721191406,0.11246919631958008,0.11246919631958008
12,12,0.48,0.48,0.0,0.0,0.0,0.0,0.0,2.1994786262512207,2.1994786262512207,2.1994786262512207,0.1906605213880539,0.1906605213880539
14,14,0.56,0.56,0.0,0.0,0.0,0.0,0.0,2.1994786262512207,2.1994786262512207,2.1994786262512207,0.2707255184650421,0.2707255184650421
16,16,0.64,0.64,0.0,0.0,0.0,0.0,0.0,2.1994786262512207,2.1994786262512207,2.1994786262512207,0.35079050064086914,0.35079050064086914
18,18,0.72,0.72,0.0,0.0,0.0,0.0,0.0,1.9314154386520384,1.9314154386520386,1.9314154386520386,0.4242863953113556,0.4242863953113556
20,20,0.8,0.8,0.0,0.0,0.0,0.0,0.0,1.4716607332229614,1.4716607332229614,1.4716607332229614,0.4799465239048004,0.4799465239048004
22,22,0.88,0.88,0.0,0.0,0.0,0.0,0.0,1.1909458637237549,1.1909458637237549,1.1909458637237549,0.517460823059082,0.517460823059082
24,24,0.96,0.96,0.0,0.0,0.0,0.0,0.0,1.0650404691696167,1.0650404691696167,1.0650404691696167,0.5450105667114258,0.5450105667114258
26,26,1.04,1.04,0.0,0.0,0.0,0.0,0.0,0.9459461569786072,0.9459461569786072,0.9459461569786072,0.5665563941001892,0.5665563941001892
28,28,1.12,1.12,0.0,0.0,0.0,0.0,0.0,0.8049283027648926,0.8049283027648926,0.8049283027648926,0.5817279815673828,0.5817279815673828
30,30,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.6129719018936157,0.6129719018936157,0.6129719018936157,0.5887397527694702,0.5887397527694702
32,32,1.28,1.28,0.0,0.0,0.0,0.0,0.0,0.565886914730072,0.565886914730072,0.565886914730072,0.5898935794830322,0.5898935794830322
34,34,1.36,1.36,0.0,0.0,0.0,0.0,0.0,0.7461798191070557,0.7461798191070557,0.7461798191070557,0.5943118333816528,0.5943118333816528
36,36,1.44,1.44,0.0,0.0,0.0,0.0,0.0,0.9503132104873657,0.9503132104873657,0.9503132104873657,0.6081507205963135,0.6081507205963135
38,38,1.52,1.52,0.0,0.0,0.0,0.0,0.0,1.0682700872421265,1.0682700872421265,1.0682700872421265,0.6298826932907104,0.6298826932907104
40,40,1.6,1.6,0.0,0.0,0.0,0.0,0.0,1.144239068031311,1.144239068031311,1.144239068031311,0.6563670039176941,0.6563670039176941
42,42,1.68,1.68,0.0,0.0,0.0,0.0,0.0,1.1505016088485718,1.1505016088485718,1.1505016088485718,0.6848664879798889,0.6848664879798889
44,44,1.76,1.76,0.0,0.0,0.0,0.0,0.0,1.0260933637619019,1.0260933637619019,1.0260933637619019,0.7104706764221191,0.7104706764221191
46,46,1.84,1.84,0.0,0.0,0.0,0.0,0.0,0.8471410870552063,0.8471410870552063,0.8471410870552063,0.7286407947540283,0.7286407947540283
48,48,1.92,1.92,0.0,0.0,0.0,0.0,0.0,0.6866477131843567,0.6866477131843567,0.6866477131843567,0.738492488861084,0.738492488861084
50,50,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.565886914730072,0.565886914730072,0.565886914730072,0.7414517998695374,0.7414517998695374
52,52,2.08,2.08,0.0,0.0,0.0,0.0,0.0,0.565886914730072,0.565886914730072,0.565886914730072,0.7414517998695374,0.7414517998695374
54,54,2.16,2.16,0.0,0.0,0.0,0.0,0.0,0.565886914730072,0.565886914730072,0.565886914730072,0.7414517998695374,0.7414517998695374
56,56,2.24,2.24,0.0,0.0,0.0,0.0,0.0,0.565886914730072,0.565886914730072,0.565886914730072,0.7414517998695374,0.7414517998695374
58,58,2.32,2.32,0.0,0.0,0.0,0.0,0.0,0.565886914730072,0.565886914730072,0.565886914730072,0.7414517998695374,0.7414517998695374
60,60,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.565886914730072,0.565886914730072,0.565886914730072,0.7414517998695374,0.7414517998695374
62,62,2.48,2.48,0.0,0.0,0.0,0.0,0.0,0.565886914730072,0.565886914730072,0.565886914730072,0.7414517998695374,0.7414517998695374
64,64,2.56,2.56,0.0,0.0,0.0,0.0,0.0,0.565886914730072,0.565886914730072,0.565886914730072,0.7414517998695374,0.7414517998695374
66,66,2.64,2.64,0.0,0.0,0.0,0.0,0.0,0.565886914730072,0.565886914730072,0.565886914730072,0.7414517998695374,0.7414517998695374
68,68,2.72,2.72,0.0,0.0,0.0,0.0,0.0,0.565886914730072,0.565886914730072,0.565886914730072,0.7414517998695374,0.7414517998695374
70,70,2.8,2.8,0.0,0.0,0.0,0.0,0.0,0.565886914730072,0.565886914730072,0.565886914730072,0.7414517998695374,0.7414517998695374
72,72,2.88,2.88,0.0,0.0,0.0,0.0,0.0,0.7088488340377808,0.7088488340377808,0.7088488340377808,0.7449552416801453,0.7449552416801453
74,74,2.96,2.96,0.0,0.0,0.0,0.0,0.0,0.9442189931869507,0.9442189931869507,0.9442189931869507,0.7577299475669861,0.7577299475669861
76,76,3.04,3.04,0.0,0.0,0.0,0.0,0.0,1.0728728771209717,1.0728728771209717,1.0728728771209717,0.7794253826141357,0.7794253826141357
78,78,3.12,3.12,0.0,0.0,0.0,0.0,0.0,1.0422611236572266,1.0422611236572266,1.0422611236572266,0.8035234212875366,0.8035234212875366
80,80,3.2,3.2,0.0,0.0,0.0,0.0,0.0,1.097607970237732,1.097607970237732,1.097607970237732,0.8282276391983032,0.8282276391983032
82,82,3.28,3.28,0.0,0.0,0.0,0.0,0.0,1.3535958528518677,1.3535958528518677,1.3535958528518677,0.8605613708496094,0.8605613708496094
84,84,3.36,3.36,0.0,0.0,0.0,0.0,0.0,1.5171161890029907,1.5171161890029907,1.5171161890029907,0.9031754732131958,0.9031754732131958
86,86,3.44,3.44,0.0,0.0,0.0,0.0,0.0,1.418063759803772,1.418063759803772,1.418063759803772,0.947369396686554,0.947369396686554
88,88,3.52,3.52,0.0,0.0,0.0,0.0,0.0,1.0909780263900757,1.0909780263900757,1.0909780263900757,0.9811204671859741,0.9811204671859741
90,90,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.6885471343994141,0.6885471343994141,0.6885471343994141,0.996994137763977,0.996994137763977
92,92,3.68,3.68,0.0,0.0,0.0,0.0,0.0,0.565886914730072,0.565886914730072,0.565886914730072,1.0,1.0
