case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,47,100.0,0.0,0.0
subsample_even,target_positive_variant,high,24,49.21257012258549,0.04670736408948195,0.08508253257905565
trim_start_20pct,target_positive_variant,high,38,32.051549088691566,0.003108699851471129,0.13653896043467056
trim_end_20pct,target_positive_variant,high,38,36.13234685987054,0.001937439084575018,0.12215780243393094
trim_both_10pct,target_positive_variant,high,37,47.78313396430903,0.0019953969624708153,0.0886196945628495
amplitude_0.85,target_positive_variant,high,47,91.83200539922075,0.0002798008615238082,0.010406987331632644
amplitude_1.15,target_positive_variant,high,47,93.855914243218,0.00024058666048492488,0.007765510157240738
fake_reverse_time,synthetic_fake_action,low,47,14.052726452943936,0.04294409950970804,0.235482450653278
fake_shuffle_frames,synthetic_fake_action,low,47,1.8172186506073353,0.1214450288062466,0.48094356813136685
fake_static_hold,synthetic_fake_action,low,47,0.04393737493165348,0.27061559618451425,0.9276192170290979
fake_random_landmarks,synthetic_fake_action,low,47,0.020556831820802663,0.2735547737092724,1.018767855669114
fake_random_walk,synthetic_fake_action,low,47,0.012112632741046602,0.45833254108288674,1.0822411834560308
other_demo_唱歌,other_demo_action,low,27,2.823704605823786,0.2835834987618838,0.428054456779846
other_demo_指示,other_demo_action,low,30,7.289509575261451,0.10592852450428797,0.314248069902862
other_demo_朋友,other_demo_action,low,28,12.804746969464862,0.11285559434804567,0.24664250721882403
other_demo_汽车,other_demo_action,low,44,7.2928552446324835,0.041841366764140214,0.3141930060861866
other_demo_花,other_demo_action,low,53,3.8930103342828355,0.04012530061279612,0.3895184955339063
other_demo_虎,other_demo_action,low,54,3.9351394393304693,0.10579235153657995,0.38822686429013115
other_demo_谗_羡慕,other_demo_action,low,32,23.901464383444427,0.0640254233527102,0.17174765491845706
other_demo_跳,other_demo_action,low,19,11.419871865506542,0.08482557168425725,0.2603778242407787
other_demo_香蕉,other_demo_action,low,42,7.07805908404338,0.12071354915329774,0.317780454784527
