standard_frame_idx,query_frame_idx,standard_timestamp_sec,query_timestamp_sec,distance,base_distance,semantic_phase_gap,semantic_phase_penalty,temporal_weighted_distance,frame_pair_weight,standard_frame_weight,query_frame_weight,standard_semantic_phase,query_semantic_phase
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6839967966079712,0.6839967966079712,0.6839967966079712,0.0,0.0
2,2,0.07090909090909091,0.07090909090909091,0.0,0.0,0.0,0.0,0.0,0.6839967966079712,0.6839967966079712,0.6839967966079712,0.0,0.0
4,4,0.14181818181818182,0.14181818181818182,0.0,0.0,0.0,0.0,0.0,0.6839967966079712,0.6839967966079712,0.6839967966079712,0.0,0.0
6,6,0.21272727272727274,0.21272727272727274,0.0,0.0,0.0,0.0,0.0,0.6839967966079712,0.6839967966079712,0.6839967966079712,0.0,0.0
8,8,0.28363636363636363,0.28363636363636363,0.0,0.0,0.0,0.0,0.0,0.6839967966079712,0.6839967966079712,0.6839967966079712,0.0,0.0
10,10,0.35454545454545455,0.35454545454545455,0.0,0.0,0.0,0.0,0.0,0.6839967966079712,0.6839967966079712,0.6839967966079712,0.0,0.0
12,12,0.4254545454545455,0.4254545454545455,0.0,0.0,0.0,0.0,0.0,0.8367496728897095,0.8367496728897095,0.8367496728897095,0.004475836642086506,0.004475836642086506
14,14,0.4963636363636364,0.4963636363636364,0.0,0.0,0.0,0.0,0.0,1.1637667417526245,1.1637667417526245,1.1637667417526245,0.023009488359093666,0.023009488359093666
16,16,0.5672727272727273,0.5672727272727273,0.0,0.0,0.0,0.0,0.0,0.9725193381309508,0.9725193381309509,0.9725193381309509,0.04552134871482849,0.04552134871482849
18,18,0.6381818181818182,0.6381818181818182,0.0,0.0,0.0,0.0,0.0,0.6839967966079712,0.6839967966079712,0.6839967966079712,0.05397539585828781,0.05397539585828781
20,20,0.7090909090909091,0.7090909090909091,0.0,0.0,0.0,0.0,0.0,0.6839967966079712,0.6839967966079712,0.6839967966079712,0.05397539585828781,0.05397539585828781
22,22,0.78,0.78,0.0,0.0,0.0,0.0,0.0,0.6839967966079712,0.6839967966079712,0.6839967966079712,0.05397539585828781,0.05397539585828781
24,24,0.850909090909091,0.850909090909091,0.0,0.0,0.0,0.0,0.0,0.6839967966079712,0.6839967966079712,0.6839967966079712,0.05397539585828781,0.05397539585828781
26,26,0.9218181818181819,0.9218181818181819,0.0,0.0,0.0,0.0,0.0,0.6839967966079712,0.6839967966079712,0.6839967966079712,0.05397539585828781,0.05397539585828781
28,28,0.9927272727272728,0.9927272727272728,0.0,0.0,0.0,0.0,0.0,0.8830621242523193,0.8830621242523193,0.8830621242523193,0.059808239340782166,0.059808239340782166
