case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,19,100.0,0.0,0.0
subsample_even,target_positive_variant,high,10,79.57927978290027,0.03269058126899942,0.05255666107053634
trim_start_20pct,target_positive_variant,high,15,93.56451481519711,0.00523643262137705,0.013806169547127569
trim_end_20pct,target_positive_variant,high,15,94.74960462474455,0.004623523622309277,0.01132608594264011
trim_both_10pct,target_positive_variant,high,15,94.72868915662926,0.004684659657405514,0.011387221977736344
amplitude_0.85,target_positive_variant,high,19,96.05540681939941,0.00037997251200318243,0.007377091574587744
amplitude_1.15,target_positive_variant,high,19,96.88403286034355,0.00032092176636152415,0.005810305459992412
fake_reverse_time,synthetic_fake_action,low,19,15.235936646276183,0.12176218947056497,0.33867239319724524
fake_shuffle_frames,synthetic_fake_action,low,19,10.864675848439887,0.07948747160158358,0.3995376132957776
fake_static_hold,synthetic_fake_action,low,19,34.4165732082193,0.04086868198307002,0.1279958349982113
fake_random_landmarks,synthetic_fake_action,low,19,0.03374713447444341,0.6573345689633132,1.4389253920290983
fake_random_walk,synthetic_fake_action,low,19,0.008716363734881877,1.1784279553733412,1.6825901970419528
other_demo_唱歌,other_demo_action,low,27,6.843402688321721,0.2468333628970964,0.4827393196195422
other_demo_指示,other_demo_action,low,30,5.666048853243398,0.32520144582554555,0.5167220692395535
other_demo_月亮,other_demo_action,low,47,8.212787864864232,0.32193369951555617,0.44990599513561347
other_demo_朋友,other_demo_action,low,28,2.8085548157125326,0.34058660691066583,0.6430500243717217
other_demo_汽车,other_demo_action,low,44,3.8950235775919664,0.47984845316758246,0.5841846816095991
other_demo_花,other_demo_action,low,53,39.63937115645993,0.08642827359694047,0.16656252129277338
other_demo_虎,other_demo_action,low,54,13.954078223073484,0.20000101068362394,0.3544917074469668
other_demo_谗_羡慕,other_demo_action,low,32,10.38329688350601,0.1599160553297027,0.4076949131722183
other_demo_香蕉,other_demo_action,low,42,11.54616868187803,0.2767008616892909,0.3885869735828782
