case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,42,100.0,0.0,0.0
subsample_even,target_positive_variant,high,21,69.92473262839829,0.02328699059277138,0.05806663635712144
trim_start_20pct,target_positive_variant,high,34,46.611593389151864,0.0026382850160167797,0.091598506874815
trim_end_20pct,target_positive_variant,high,34,89.60772162202915,0.0010653099732195518,0.013859894390964462
trim_both_10pct,target_positive_variant,high,34,90.68204721859149,0.0010638743932544325,0.012428812472434918
amplitude_0.85,target_positive_variant,high,42,89.4957747093931,0.0003455897327234655,0.013542085938984835
amplitude_1.15,target_positive_variant,high,42,91.80402687170283,0.00029628457546252075,0.010454267808318
fake_reverse_time,synthetic_fake_action,low,42,8.640778320009233,0.050217763344874655,0.29384130286739824
fake_shuffle_frames,synthetic_fake_action,low,42,3.832836015457555,0.05422680805557353,0.3913878219361622
fake_static_hold,synthetic_fake_action,low,42,0.10456374434268101,0.16857748331609473,0.8235754302991243
fake_random_landmarks,synthetic_fake_action,low,42,0.0057472563811515,0.34043360808050466,1.1717043450165443
fake_random_walk,synthetic_fake_action,low,42,3.761964591196649e-05,0.7306487116236934,1.7751785198822647
other_demo_唱歌,other_demo_action,low,27,3.2312000384986836,0.25662641664170627,0.41187799065676256
other_demo_指示,other_demo_action,low,30,11.125699693731994,0.12172759667324587,0.2635094959313897
other_demo_月亮,other_demo_action,low,47,8.027645467606098,0.10656081769270356,0.30267347016137625
other_demo_朋友,other_demo_action,low,28,18.503483020559834,0.0939802097020152,0.20246534402916383
other_demo_汽车,other_demo_action,low,44,10.718745526882097,0.048308989370110154,0.26798112707269045
other_demo_花,other_demo_action,low,53,6.857086719339252,0.05331619368851359,0.32158650131184613
other_demo_虎,other_demo_action,low,54,4.871567110048533,0.11201103935234703,0.3626105414574503
other_demo_谗_羡慕,other_demo_action,low,32,11.119995506443939,0.1048643566515483,0.26357103615150057
other_demo_跳,other_demo_action,low,19,13.908049393341496,0.11505321276728345,0.23672429044979615
