case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,53,100.0,0.0,0.0
subsample_even,target_positive_variant,high,27,24.731627207107838,0.010873811061139955,0.1676504769248221
trim_start_20pct,target_positive_variant,high,42,90.76026039624222,0.0013846153846153845,0.01163383884199644
trim_end_20pct,target_positive_variant,high,42,90.76026039624222,0.0013846153846153845,0.01163383884199644
trim_both_10pct,target_positive_variant,high,43,90.76026039624222,0.0013846153846153845,0.01163383884199644
amplitude_0.85,target_positive_variant,high,53,80.190265860163,0.019999999999999997,0.026492166215596233
amplitude_1.15,target_positive_variant,high,53,80.77528721132437,0.019999999999999997,0.02561989423057187
fake_reverse_time,synthetic_fake_action,low,53,36.728169120651714,0.01749548012533468,0.12019514092472804
fake_shuffle_frames,synthetic_fake_action,low,53,41.97086673066001,0.0130322961490172,0.10418333491928221
fake_static_hold,synthetic_fake_action,low,53,33.604206691552754,0.0054775603061718295,0.13086227132428044
fake_random_landmarks,synthetic_fake_action,low,53,10.691887746766687,0.02,0.26828218638869883
fake_random_walk,synthetic_fake_action,low,53,30.740289329556305,0.02,0.14155152429237733
other_demo_唱歌,other_demo_action,low,27,4.65168680434226,0.1006213293979906,0.36815283342552274
other_demo_指示,other_demo_action,low,30,3.045598234284442,0.10130798443822257,0.418976740759394
other_demo_月亮,other_demo_action,low,47,9.157786686725219,0.11905646548371128,0.2868678797502706
other_demo_朋友,other_demo_action,low,28,1.3585120502583732,0.2312007229085665,0.5158536199050823
other_demo_汽车,other_demo_action,low,44,1.7195529507855591,0.32564615139649883,0.4875727009535726
other_demo_虎,other_demo_action,low,54,1.9008072820311737,0.10325404943558344,0.47554698057291866
other_demo_谗_羡慕,other_demo_action,low,32,3.650071208303882,0.06818237629705655,0.3972508211351568
other_demo_跳,other_demo_action,low,19,2.902952058560155,0.11014765493269187,0.42473304186348404
other_demo_香蕉,other_demo_action,low,42,13.604357504313766,0.07924895937351512,0.23937360478029182
