case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,53,100.0,0.0,0.0
subsample_even,target_positive_variant,high,27,88.93163339209886,0.0049248509984462915,0.014076273069470312
trim_start_20pct,target_positive_variant,high,42,87.27721669440871,8.528044300487273e-05,0.016329688122904557
trim_end_20pct,target_positive_variant,high,42,79.56360589821388,0.0004285714285714285,0.02743360920302156
trim_both_10pct,target_positive_variant,high,43,88.70013463508185,0.00041860465116279067,0.014389053456427759
amplitude_0.85,target_positive_variant,high,53,87.18853053693417,0.008252386728149,0.01645168731165639
amplitude_1.15,target_positive_variant,high,53,87.92646007571732,0.008276167189014208,0.015440328221235882
fake_reverse_time,synthetic_fake_action,low,53,33.58523013605591,0.0066873683024247215,0.1309300553935535
fake_shuffle_frames,synthetic_fake_action,low,53,37.26313802170363,0.005611839148077079,0.11845987257321808
fake_static_hold,synthetic_fake_action,low,53,3.888424351447307,0.007189540350235393,0.389659939374587
fake_random_landmarks,synthetic_fake_action,low,53,3.204123302931436,0.008395932785309224,0.41288780081537685
fake_random_walk,synthetic_fake_action,low,53,8.663377473748081,0.008398369008341114,0.29352786371176265
other_demo_唱歌,other_demo_action,low,27,14.67726748867866,0.19181820275895953,0.23026443822012085
other_demo_指示,other_demo_action,low,30,22.686639915120598,0.1530843299148872,0.1780072781710747
other_demo_月亮,other_demo_action,low,47,59.13896803384587,0.011434165038573958,0.06303361455144812
other_demo_朋友,other_demo_action,low,28,20.813291719671543,0.15590426639760943,0.18834940540633613
other_demo_汽车,other_demo_action,low,44,43.26065564574061,0.007249505404058039,0.10055119315718421
other_demo_虎,other_demo_action,low,54,10.1217993170335,0.0708620014671093,0.27485744877685747
other_demo_谗_羡慕,other_demo_action,low,32,68.13461694066437,0.011129682658848868,0.04604217322394213
other_demo_跳,other_demo_action,low,19,21.801622320892626,0.06444381935375763,0.18278229606868668
other_demo_香蕉,other_demo_action,low,42,36.962555786785636,0.04633866797827101,0.11943177498359941
