case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,53,100.0,0.0,0.0
subsample_even,target_positive_variant,high,27,79.00724019257491,0.014887188890790742,0.02827568276558574
trim_start_20pct,target_positive_variant,high,42,85.01369263648473,0.00042090924266618756,0.019482942315642383
trim_end_20pct,target_positive_variant,high,42,75.2662821369585,0.0004285714285714285,0.034096551822179466
trim_both_10pct,target_positive_variant,high,43,86.65446349212613,0.00041860465116279067,0.01718899912977987
amplitude_0.85,target_positive_variant,high,53,71.37052249828375,0.028819208446180848,0.040474230246328576
amplitude_1.15,target_positive_variant,high,53,72.1759159975687,0.028908205615780506,0.03912765230138199
fake_reverse_time,synthetic_fake_action,low,53,14.487449479477753,0.03620618135369172,0.2318264957410127
fake_shuffle_frames,synthetic_fake_action,low,53,23.118851614915442,0.027956823617778046,0.1757426176863224
fake_static_hold,synthetic_fake_action,low,53,1.5451133680648783,0.023208120795983906,0.500408748113052
fake_random_landmarks,synthetic_fake_action,low,53,0.9947656163259665,0.02931619820093285,0.5532501980450447
fake_random_walk,synthetic_fake_action,low,53,2.8055118488845436,0.029323255129661573,0.42883010236076397
other_demo_唱歌,other_demo_action,low,27,14.096542046453758,0.17088607850636117,0.2351088796336539
other_demo_指示,other_demo_action,low,30,17.562840094783844,0.15180167910669476,0.20872618491048875
other_demo_月亮,other_demo_action,low,47,18.619073527083074,0.03583246287976689,0.20171804066963417
other_demo_朋友,other_demo_action,low,28,18.981884462243677,0.1394190087677321,0.19940221331990476
other_demo_汽车,other_demo_action,low,44,12.967705467648619,0.027701969805579103,0.24512497368653058
other_demo_虎,other_demo_action,low,54,2.342319227981498,0.08915553703334413,0.4504834349265168
other_demo_谗_羡慕,other_demo_action,low,32,38.41492327484947,0.03382634882064779,0.11480690099293185
other_demo_跳,other_demo_action,low,19,14.914778952578049,0.08649060449023316,0.2283381106330448
other_demo_香蕉,other_demo_action,low,42,14.636971452061754,0.05700814236997629,0.2305943480260364
