case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,53,100.0,0.0,0.0
subsample_even,target_positive_variant,high,27,81.82485518472915,0.010682202375527028,0.024070696250322026
trim_start_20pct,target_positive_variant,high,42,85.01369263648473,0.00042090924266618756,0.019482942315642383
trim_end_20pct,target_positive_variant,high,42,75.2662821369585,0.0004285714285714285,0.034096551822179466
trim_both_10pct,target_positive_variant,high,43,86.65446349212613,0.00041860465116279067,0.01718899912977987
amplitude_0.85,target_positive_variant,high,53,90.62389195396798,0.00015925415219253218,0.011814275952340261
amplitude_1.15,target_positive_variant,high,53,91.73127011809503,0.00013737654981458127,0.010356823235416066
fake_reverse_time,synthetic_fake_action,low,53,16.946330334129538,0.021143950620167957,0.21301426500748893
fake_shuffle_frames,synthetic_fake_action,low,53,26.29398961357932,0.01626378249843303,0.1602995765669774
fake_static_hold,synthetic_fake_action,low,53,1.623165542406894,0.02104440126744279,0.4944950285845109
fake_random_landmarks,synthetic_fake_action,low,53,1.0000711227243384,0.028677888051030664,0.5526118878951425
fake_random_walk,synthetic_fake_action,low,53,2.820468746939911,0.02868520387277967,0.4281920511038821
other_demo_唱歌,other_demo_action,low,27,14.096542046453758,0.17088607850636117,0.2351088796336539
other_demo_指示,other_demo_action,low,30,17.562840094783844,0.15180167910669476,0.20872618491048875
other_demo_月亮,other_demo_action,low,47,18.909230097817556,0.033976824390528015,0.1998624021803953
other_demo_朋友,other_demo_action,low,28,19.541547815944092,0.13593207502641466,0.19591527957858734
other_demo_汽车,other_demo_action,low,44,13.020451860563409,0.02721485748274607,0.24463786136369756
other_demo_虎,other_demo_action,low,54,2.4692412948232954,0.0828232121814337,0.4441511100746064
other_demo_谗_羡慕,other_demo_action,low,32,39.42080452010613,0.030724624892468765,0.11170517706475283
other_demo_跳,other_demo_action,low,19,14.914778952578049,0.08649060449023316,0.2283381106330448
other_demo_香蕉,other_demo_action,low,42,14.636971452061754,0.05700814236997629,0.2305943480260364
