case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,53,100.0,0.0,0.0
subsample_even,target_positive_variant,high,27,83.74355473541843,0.007513557779054502,0.021289317195291275
trim_start_20pct,target_positive_variant,high,42,84.40326495445868,0.0002558413290146182,0.020347692100783656
trim_end_20pct,target_positive_variant,high,42,71.41070101569619,0.0004285714285714285,0.040406694444377944
trim_both_10pct,target_positive_variant,high,43,84.40899894667699,0.00041860465116279067,0.02033954009748058
amplitude_0.85,target_positive_variant,high,53,79.73001797604975,0.014473968177022506,0.027182884081458962
amplitude_1.15,target_positive_variant,high,53,80.77722699408075,0.014512562918363711,0.02561701251830731
fake_reverse_time,synthetic_fake_action,low,53,17.080349882372975,0.019492816559273977,0.21206898155052362
fake_shuffle_frames,synthetic_fake_action,low,53,20.492922311523476,0.015296421697477402,0.19021087350644597
fake_static_hold,synthetic_fake_action,low,53,0.6872959310297583,0.011967123494483749,0.5976192608501533
fake_random_landmarks,synthetic_fake_action,low,53,0.4761297750388721,0.01470580590473146,0.6416682013513364
fake_random_walk,synthetic_fake_action,low,53,2.224798987487958,0.014709717268065872,0.4566604340583692
other_demo_唱歌,other_demo_action,low,27,13.0286066255801,0.19106434083660928,0.24456272837303755
other_demo_指示,other_demo_action,low,30,20.189175109094528,0.1566479113105366,0.19200283330888507
other_demo_月亮,other_demo_action,low,47,45.651173683039374,0.01693686630338919,0.0940969042566942
other_demo_朋友,other_demo_action,low,28,17.196219555442724,0.16291969002234696,0.2112576743537979
other_demo_汽车,other_demo_action,low,44,26.796295708691325,0.01554418619251552,0.15802878334193654
other_demo_虎,other_demo_action,low,54,4.993810031097682,0.0747508765496502,0.3596365241138165
other_demo_谗_羡慕,other_demo_action,low,32,57.222478115431926,0.015753590382078454,0.06698680689004848
other_demo_跳,other_demo_action,low,19,18.267414071538575,0.06826341171001399,0.2040061638257012
other_demo_香蕉,other_demo_action,low,42,26.144625040140966,0.049292519140741065,0.16098318720025798
