word,variant,kind,gated,passed,score,min_score,group,landmarks,shift_frames,pattern,active_frame_count,changed_frames,changed_points,skipped_points,total_frames,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,right_hand,[],0,none,0,0,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
花,flower_right_all_distal_delay_1f,positive,True,False,51.29201098340302,70.0,right_hand,"[2, 3, 4, 6, 7, 8, 10, 11, 12, 14, 15, 16, 18, 19, 20]",1,full,53,38,570,225,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手所有 distal finger joints 相对掌根滞后 1 帧，模拟快速开合时指尖追踪延迟。
花,flower_right_all_distal_advance_1f,positive,True,False,40.34203304913435,70.0,right_hand,"[2, 3, 4, 6, 7, 8, 10, 11, 12, 14, 15, 16, 18, 19, 20]",-1,full,53,38,570,225,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手 distal finger joints 提前 1 帧，覆盖相反方向的帧对齐误差。
花,flower_right_all_distal_sparse_delay_2f_every_5f,positive,True,True,94.48295278004365,70.0,right_hand,"[2, 3, 4, 6, 7, 8, 10, 11, 12, 14, 15, 16, 18, 19, 20]",2,sparse_every_5f,10,7,105,45,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手稀疏帧指尖链滞后 2 帧，完整开合证据仍应保留。
花,flower_right_outer_distal_middle20_delay_2f,positive,True,True,95.47631073205214,70.0,right_hand,"[14, 15, 16, 18, 19, 20]",2,middle_20pct,11,11,66,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花右手外侧 ring/pinky distal joints 在短核心窗口滞后，验证非中心指链延迟容错。
花,flower_right_all_distal_middle20_delay_2f,positive,True,True,95.10006514594455,70.0,right_hand,"[2, 3, 4, 6, 7, 8, 10, 11, 12, 14, 15, 16, 18, 19, 20]",2,middle_20pct,11,11,165,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手短窗口所有 distal finger chains 滞后 2 帧，作为强正向容错门。
花,flower_right_all_distal_delay_4f_diagnostic,diagnostic,False,True,48.55317246976914,,right_hand,"[2, 3, 4, 6, 7, 8, 10, 11, 12, 14, 15, 16, 18, 19, 20]",4,full,53,35,525,270,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,诊断记录：开花核心手 finger chains 全程滞后 4 帧时的边界分。
花,flower_right_all_distal_middle35_delay_3f_diagnostic,diagnostic,False,True,77.4877680968142,,right_hand,"[2, 3, 4, 6, 7, 8, 10, 11, 12, 14, 15, 16, 18, 19, 20]",3,middle_35pct,19,19,285,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,诊断记录：开花核心窗口较长 distal finger latency 的边界分。
跳,self_recomputed,positive,True,True,100.0,95.0,right_hand,[],0,none,0,0,0,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
跳,jump_right_person_distal_delay_1f,positive,True,True,73.35870221909906,70.0,right_hand,"[6, 7, 8, 10, 11, 12]",1,full,19,16,96,18,19,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,跳的右手两指小人 distal joints 相对掌根滞后 1 帧，双手关系和两指手形仍应可评分。
