word,variant,kind,gated,passed,score,min_score,dtw_distance,normalized_distance,result_finite,vector_nonfinite,mask_nonfinite,zero_mask_values,pattern,active_frame_count,changed_values,skipped_values,total_records,fixture_json,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,exception,rationale
花,self_reloaded,positive,True,True,99.86966174772635,95.0,2.815076988297046e-05,0.0002074117367798508,True,0,0,5478,none,0,0,0,53,work/generated/scoring_mvp_run3/flower_jump_finite_coordinate_robustness_gate_20260604_v1/fixtures/花/self_reloaded.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,原始标准 JSON 经正常 load_sequence 重载，应保持近满分且所有距离有限。
花,pose_face_sparse_nan_inf,positive,True,True,77.51470514506411,70.0,0.005357189002458947,0.04041403880558396,True,0,0,5667,sparse_every_7f,7,63,0,53,work/generated/scoring_mvp_run3/flower_jump_finite_coordinate_robustness_gate_20260604_v1/fixtures/花/pose_face_sparse_nan_inf.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,非核心 pose/face 稀疏坏点应被当作缺失，不应污染手部语义评分。
花,pose_shoulder_first3_inf,positive,True,True,99.86966174772635,70.0,2.815076988297046e-05,0.0002074117367798508,True,0,0,5496,first_3,3,12,0,53,work/generated/scoring_mvp_run3/flower_jump_finite_coordinate_robustness_gate_20260604_v1/fixtures/花/pose_shoulder_first3_inf.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,起始几帧肩部归一化锚点异常时，应回退到有限 pose 点或默认归一化。
花,flower_right_index_tip_single_nan,positive,True,True,99.81396695617154,70.0,0.00016545496011642852,0.00037754485937271747,True,0,0,5487,single_mid,1,1,0,53,work/generated/scoring_mvp_run3/flower_jump_finite_coordinate_robustness_gate_20260604_v1/fixtures/花/flower_right_index_tip_single_nan.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,开花核心手单帧 index tip NaN 应被视为该点缺失，完整开合证据仍应保留。
花,flower_right_outer_tips_sparse_inf,positive,True,True,99.20762553459997,70.0,0.0012074394046864992,0.0019383547428055287,True,0,0,5583,sparse_every_5f,10,28,12,53,work/generated/scoring_mvp_run3/flower_jump_finite_coordinate_robustness_gate_20260604_v1/fixtures/花/flower_right_outer_tips_sparse_inf.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,开花 ring/pinky tip 稀疏帧 Inf 坏点应被局部 mask 掉。
花,flower_right_all_distal_middle35_nan_diagnostic,diagnostic,False,True,82.77236217206402,,0.011861550741979697,0.03512602370619139,True,0,0,6713,middle_35pct,19,570,0,53,work/generated/scoring_mvp_run3/flower_jump_finite_coordinate_robustness_gate_20260604_v1/fixtures/花/flower_right_all_distal_middle35_nan_diagnostic.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,诊断记录：开花核心手较长窗口所有 distal finger-chain 坐标坏掉时的边界分。
花,all_pose_full_nan_diagnostic,diagnostic,False,True,23.047300741122967,,0.02835049495423196,0.17611458334911573,True,0,0,6909,full,53,5247,0,53,work/generated/scoring_mvp_run3/flower_jump_finite_coordinate_robustness_gate_20260604_v1/fixtures/花/all_pose_full_nan_diagnostic.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,诊断记录：全段 pose 归一化信息不可用时，打分应保持有限并依靠手部证据或重采诊断。
跳,self_reloaded,positive,True,False,78.07249350585363,95.0,0.044747777301750315,0.05766936111521925,True,0,0,415,none,0,0,0,19,work/generated/scoring_mvp_run3/flower_jump_finite_coordinate_robustness_gate_20260604_v1/fixtures/跳/self_reloaded.json,score_valid,score_valid,action_window_net,used,,原始标准 JSON 经正常 load_sequence 重载，应保持近满分且所有距离有限。
跳,pose_face_sparse_nan_inf,positive,True,True,76.99879137565065,70.0,0.02161575150000997,0.11932323294334633,True,0,0,496,sparse_every_7f,3,27,0,19,work/generated/scoring_mvp_run3/flower_jump_finite_coordinate_robustness_gate_20260604_v1/fixtures/跳/pose_face_sparse_nan_inf.json,score_valid,score_valid,full_sequence_local_relation_segment,used,,非核心 pose/face 稀疏坏点应被当作缺失，不应污染手部语义评分。
跳,pose_shoulder_first3_inf,positive,True,True,78.5453980517561,70.0,0.05783990817746228,0.21616046435122602,True,0,0,433,first_3,3,12,0,19,work/generated/scoring_mvp_run3/flower_jump_finite_coordinate_robustness_gate_20260604_v1/fixtures/跳/pose_shoulder_first3_inf.json,score_valid,score_valid,full_sequence_local_relation_segment,used,,起始几帧肩部归一化锚点异常时，应回退到有限 pose 点或默认归一化。
跳,jump_right_person_tip_single_nan,positive,True,True,87.63963092559379,70.0,0.028561574385936116,0.032386982472350105,True,0,0,431,single_mid,1,2,0,19,work/generated/scoring_mvp_run3/flower_jump_finite_coordinate_robustness_gate_20260604_v1/fixtures/跳/jump_right_person_tip_single_nan.json,score_valid,score_valid,action_window_net,used,,跳的右手两指单帧 tip NaN 应被局部 mask，不应破坏完整弹跳轨迹。
跳,jump_left_ground_sparse_inf,positive,True,True,70.46895751687171,70.0,0.06778594943980946,0.10665066266044362,True,0,0,520,sparse_every_7f,3,15,0,19,work/generated/scoring_mvp_run3/flower_jump_finite_coordinate_robustness_gate_20260604_v1/fixtures/跳/jump_left_ground_sparse_inf.json,score_valid,score_valid,action_window_net,used,,跳的左手地面手稀疏帧锚点 Inf 应被当作缺失，右手小人和多数关系帧仍可评分。
跳,jump_right_person_middle35_nan_diagnostic,diagnostic,False,True,79.71001527702029,,0.14495651273031826,0.18552362382198845,True,0,0,611,middle_35pct,7,84,0,19,work/generated/scoring_mvp_run3/flower_jump_finite_coordinate_robustness_gate_20260604_v1/fixtures/跳/jump_right_person_middle35_nan_diagnostic.json,score_valid,score_valid,full_sequence_local_relation_segment,used,,诊断记录：右手两指小人较长窗口 distal 坐标坏掉时的边界分。
跳,all_pose_full_nan_diagnostic,diagnostic,False,True,13.554029439385678,,0.17844356442457684,0.23981835687231867,True,0,0,928,full,19,1881,0,19,work/generated/scoring_mvp_run3/flower_jump_finite_coordinate_robustness_gate_20260604_v1/fixtures/跳/all_pose_full_nan_diagnostic.json,semantic_mismatch,weak_same_direction_vertical_jump,action_window_net,weak_same_direction_vertical_jump,,诊断记录：全段 pose 归一化信息不可用时，打分应保持有限并依靠手部证据或重采诊断。
