word,variant,kind,passed,score,threshold,group,pattern,operation,corrupted_frame_count,quantization_bypassed_frame_count,minimum_bone_length_ratio,maximum_bone_length_ratio,handling_rate,minimum_remaining_point_count,capture_quality,capture_reason,exception
花,self_reloaded,positive,True,100.0,95.0,,none,none,0,0,,,,,score_valid,score_valid,
花,right_hand_landmarks_all_edges_short_sparse_preserved,positive,True,98.5067261554294,75.0,right_hand_landmarks,sparse_visible,all_edges_short,6,0,0.0014989275508350216,0.0015012083360714291,1.0,1,score_valid,score_valid,
花,right_hand_landmarks_all_edges_short_full_recapture,diagnostic,True,10.07561559970488,55.0,right_hand_landmarks,full_visible,all_edges_short,40,0,0.0014987406274913082,0.0015013536162499844,1.0,1,semantic_mismatch,flower_opening_guard_failed,
花,right_hand_landmarks_all_distal_long_sparse_preserved,positive,True,98.83345591854618,75.0,right_hand_landmarks,sparse_visible,all_distal_long,6,0,0.15263865285461892,2.2000001141128536,1.0,11,score_valid,score_valid,
花,right_hand_landmarks_all_distal_long_full_recapture,diagnostic,True,10.730961832385875,55.0,right_hand_landmarks,full_visible,all_distal_long,40,0,0.09710964883765477,2.200000163108766,1.0,11,semantic_mismatch,flower_opening_guard_failed,
花,right_hand_landmarks_single_index_tip_short_sparse_preserved,positive,True,99.4839497419899,75.0,right_hand_landmarks,sparse_visible,single_index_tip_short,6,0,0.001499998964047838,0.6114095440813886,1.0,19,score_valid,score_valid,
花,right_hand_landmarks_xyz_1_256_quantized_preserved,positive,True,78.51176497182736,70.0,right_hand_landmarks,full_visible,quantize_xyz_1_256,0,40,,,1.0,21,score_valid,score_valid,
跳,self_reloaded,positive,True,100.0,95.0,,none,none,0,0,,,,,score_valid,score_valid,
跳,right_hand_landmarks_all_edges_short_sparse_preserved,positive,True,81.64174594701753,75.0,right_hand_landmarks,sparse_visible,all_edges_short,2,0,0.0014997703239185642,0.0014998988808980571,1.0,1,score_valid,score_valid,
跳,right_hand_landmarks_all_edges_short_full_recapture,diagnostic,True,0.971800374335323,55.0,right_hand_landmarks,full_visible,all_edges_short,17,0,0.0014988539898030662,0.001500947484161785,1.0,1,semantic_mismatch,phase_order_disorder,
跳,right_hand_landmarks_all_distal_long_sparse_preserved,positive,True,81.64174594701753,75.0,right_hand_landmarks,sparse_visible,all_distal_long,2,0,0.07475061449494767,2.1999999778327863,1.0,11,score_valid,score_valid,
跳,right_hand_landmarks_all_distal_long_full_recapture,diagnostic,True,1.534660005280852,55.0,right_hand_landmarks,full_visible,all_distal_long,17,0,0.06700727617332672,2.200000154866878,1.0,11,semantic_mismatch,missing_relation_delta,
跳,right_hand_landmarks_single_index_tip_short_sparse_preserved,positive,False,70.71354399426619,75.0,right_hand_landmarks,sparse_visible,single_index_tip_short,2,0,0.0014997876420540348,0.4568868916511101,1.0,19,score_valid,score_valid,
跳,right_hand_landmarks_xyz_1_256_quantized_preserved,positive,True,78.5510618902281,70.0,right_hand_landmarks,full_visible,quantize_xyz_1_256,0,17,,,1.0,21,score_valid,score_valid,
跳,left_hand_landmarks_all_edges_short_sparse_preserved,positive,True,88.90262709303171,75.0,left_hand_landmarks,sparse_visible,all_edges_short,2,0,0.0014990538657030253,0.0015007466295574267,1.0,1,score_valid,score_valid,
跳,left_hand_landmarks_all_edges_short_full_recapture,diagnostic,True,6.762490201732685,55.0,left_hand_landmarks,full_visible,all_edges_short,16,0,0.0014990538657030253,0.001500975288119412,1.0,1,semantic_mismatch,missing_relation_delta,
跳,left_hand_landmarks_all_distal_long_sparse_preserved,positive,True,97.50265429342045,75.0,left_hand_landmarks,sparse_visible,all_distal_long,2,0,0.3197293458055686,2.200000086498365,1.0,11,score_valid,score_valid,
跳,left_hand_landmarks_all_distal_long_full_recapture,diagnostic,False,85.0,55.0,left_hand_landmarks,full_visible,all_distal_long,16,0,0.22174134758284206,2.2000001542734187,1.0,11,score_valid,score_valid,
跳,left_hand_landmarks_single_index_tip_short_sparse_preserved,positive,True,99.43648843630811,75.0,left_hand_landmarks,sparse_visible,single_index_tip_short,2,0,0.0014991307245884901,0.6329144212339248,1.0,19,score_valid,score_valid,
跳,left_hand_landmarks_xyz_1_256_quantized_preserved,positive,True,96.13194490684923,70.0,left_hand_landmarks,full_visible,quantize_xyz_1_256,0,16,,,1.0,21,score_valid,score_valid,
