word,variant,kind,passed,score,threshold,group,pattern,operation,changed_frame_count,corrupted_before_load_count,masked_count,masked_rate,topology_handling_ok,capture_quality,capture_reason,exception
花,self_reloaded,positive,True,100.0,95.0,,none,none,0,0,0,0.0,True,score_valid,score_valid,
花,right_hand_landmarks_reverse_internal_all_sparse_masked,positive,True,96.95162482508982,75.0,right_hand_landmarks,sparse_visible,reverse_internal_all,6,5,5,0.8333333333333334,True,score_valid,score_valid,
花,right_hand_landmarks_reverse_internal_all_full_recapture,diagnostic,True,0.6275784082019875,55.0,right_hand_landmarks,full_visible,reverse_internal_all,40,38,38,0.95,True,needs_recapture,flower_core_hand_presence_low,
花,right_hand_landmarks_rotate_internal_1_sparse_masked,positive,True,98.11220412142494,75.0,right_hand_landmarks,sparse_visible,rotate_internal_1,6,6,6,1.0,True,score_valid,score_valid,
花,right_hand_landmarks_rotate_internal_1_full_recapture,diagnostic,True,1.1641503183616815,55.0,right_hand_landmarks,full_visible,rotate_internal_1,40,40,40,1.0,True,needs_recapture,flower_core_hand_presence_low,
花,right_hand_landmarks_rotate_internal_2_sparse_masked,positive,True,96.49260997717984,75.0,right_hand_landmarks,sparse_visible,rotate_internal_2,6,5,5,0.8333333333333334,True,score_valid,score_valid,
花,right_hand_landmarks_rotate_internal_2_full_recapture,diagnostic,True,0.9527327480099407,55.0,right_hand_landmarks,full_visible,rotate_internal_2,40,38,38,0.95,True,needs_recapture,flower_core_hand_presence_low,
花,right_hand_landmarks_rotate_internal_5_sparse_masked,positive,True,98.11220412142494,75.0,right_hand_landmarks,sparse_visible,rotate_internal_5,6,6,6,1.0,True,score_valid,score_valid,
花,right_hand_landmarks_rotate_internal_5_full_recapture,diagnostic,True,1.1641503183616815,55.0,right_hand_landmarks,full_visible,rotate_internal_5,40,40,40,1.0,True,needs_recapture,flower_core_hand_presence_low,
花,right_hand_landmarks_reverse_each_chain_sparse_masked,positive,True,97.35084637979998,75.0,right_hand_landmarks,sparse_visible,reverse_each_chain,6,5,5,0.8333333333333334,True,score_valid,score_valid,
花,right_hand_landmarks_reverse_each_chain_full_recapture,diagnostic,True,0.7725388753496493,55.0,right_hand_landmarks,full_visible,reverse_each_chain,40,38,38,0.95,True,needs_recapture,flower_core_hand_presence_low,
花,right_hand_landmarks_swap_base_tip_each_chain_sparse_masked,positive,True,98.11220412142494,75.0,right_hand_landmarks,sparse_visible,swap_base_tip_each_chain,6,6,6,1.0,True,score_valid,score_valid,
花,right_hand_landmarks_swap_base_tip_each_chain_full_recapture,diagnostic,True,1.1641503183616815,55.0,right_hand_landmarks,full_visible,swap_base_tip_each_chain,40,40,40,1.0,True,needs_recapture,flower_core_hand_presence_low,
花,right_hand_landmarks_swap_pip_dip_each_chain_sparse_masked,positive,True,98.11220412142494,75.0,right_hand_landmarks,sparse_visible,swap_pip_dip_each_chain,6,6,6,1.0,True,score_valid,score_valid,
花,right_hand_landmarks_swap_pip_dip_each_chain_full_recapture,diagnostic,True,1.1641503183616815,55.0,right_hand_landmarks,full_visible,swap_pip_dip_each_chain,40,40,40,1.0,True,needs_recapture,flower_core_hand_presence_low,
花,right_hand_landmarks_adjacent_chain_swap_preserved,positive,True,79.77341295867527,70.0,right_hand_landmarks,full_visible,swap_index_middle_chain,40,0,0,0.0,True,score_valid,score_valid,
跳,self_reloaded,positive,True,100.0,95.0,,none,none,0,0,0,0.0,True,score_valid,score_valid,
跳,right_hand_landmarks_reverse_internal_all_sparse_masked,positive,True,81.64174594701753,75.0,right_hand_landmarks,sparse_visible,reverse_internal_all,2,2,2,1.0,True,score_valid,score_valid,
跳,right_hand_landmarks_reverse_internal_all_full_recapture,diagnostic,True,0.3033331989382478,55.0,right_hand_landmarks,full_visible,reverse_internal_all,17,16,16,0.9411764705882353,True,needs_recapture,jump_two_hand_presence_low,
跳,right_hand_landmarks_rotate_internal_1_sparse_masked,positive,True,81.64174594701753,75.0,right_hand_landmarks,sparse_visible,rotate_internal_1,2,2,2,1.0,True,score_valid,score_valid,
跳,right_hand_landmarks_rotate_internal_1_full_recapture,diagnostic,True,0.23617115289684296,55.0,right_hand_landmarks,full_visible,rotate_internal_1,17,17,17,1.0,True,needs_recapture,jump_two_hand_presence_low,
跳,right_hand_landmarks_rotate_internal_2_sparse_masked,positive,True,81.64174594701753,75.0,right_hand_landmarks,sparse_visible,rotate_internal_2,2,2,2,1.0,True,score_valid,score_valid,
跳,right_hand_landmarks_rotate_internal_2_full_recapture,diagnostic,True,0.23617115289684296,55.0,right_hand_landmarks,full_visible,rotate_internal_2,17,17,17,1.0,True,needs_recapture,jump_two_hand_presence_low,
跳,right_hand_landmarks_rotate_internal_5_sparse_masked,positive,True,81.64174594701753,75.0,right_hand_landmarks,sparse_visible,rotate_internal_5,2,2,2,1.0,True,score_valid,score_valid,
跳,right_hand_landmarks_rotate_internal_5_full_recapture,diagnostic,True,0.23617115289684296,55.0,right_hand_landmarks,full_visible,rotate_internal_5,17,17,17,1.0,True,needs_recapture,jump_two_hand_presence_low,
跳,right_hand_landmarks_reverse_each_chain_sparse_masked,positive,True,81.64174594701753,75.0,right_hand_landmarks,sparse_visible,reverse_each_chain,2,2,2,1.0,True,score_valid,score_valid,
跳,right_hand_landmarks_reverse_each_chain_full_recapture,diagnostic,True,0.23617115289684296,55.0,right_hand_landmarks,full_visible,reverse_each_chain,17,17,17,1.0,True,needs_recapture,jump_two_hand_presence_low,
跳,right_hand_landmarks_swap_base_tip_each_chain_sparse_masked,positive,True,81.64174594701753,75.0,right_hand_landmarks,sparse_visible,swap_base_tip_each_chain,2,2,2,1.0,True,score_valid,score_valid,
跳,right_hand_landmarks_swap_base_tip_each_chain_full_recapture,diagnostic,True,0.23617115289684296,55.0,right_hand_landmarks,full_visible,swap_base_tip_each_chain,17,17,17,1.0,True,needs_recapture,jump_two_hand_presence_low,
跳,right_hand_landmarks_swap_pip_dip_each_chain_sparse_masked,positive,True,81.64174594701753,75.0,right_hand_landmarks,sparse_visible,swap_pip_dip_each_chain,2,2,2,1.0,True,score_valid,score_valid,
跳,right_hand_landmarks_swap_pip_dip_each_chain_full_recapture,diagnostic,True,0.23617115289684296,55.0,right_hand_landmarks,full_visible,swap_pip_dip_each_chain,17,17,17,1.0,True,needs_recapture,jump_two_hand_presence_low,
跳,right_hand_landmarks_adjacent_chain_swap_preserved,positive,True,85.0,70.0,right_hand_landmarks,full_visible,swap_index_middle_chain,17,0,0,0.0,True,score_valid,score_valid,
跳,left_hand_landmarks_reverse_internal_all_sparse_masked,positive,True,84.67774033010186,75.0,left_hand_landmarks,sparse_visible,reverse_internal_all,2,2,2,1.0,True,score_valid,score_valid,
跳,left_hand_landmarks_reverse_internal_all_full_recapture,diagnostic,True,2.1609837573499253,55.0,left_hand_landmarks,full_visible,reverse_internal_all,16,16,16,1.0,True,needs_recapture,jump_two_hand_presence_low,
跳,left_hand_landmarks_rotate_internal_1_sparse_masked,positive,True,84.67774033010186,75.0,left_hand_landmarks,sparse_visible,rotate_internal_1,2,2,2,1.0,True,score_valid,score_valid,
跳,left_hand_landmarks_rotate_internal_1_full_recapture,diagnostic,True,2.1609837573499253,55.0,left_hand_landmarks,full_visible,rotate_internal_1,16,16,16,1.0,True,needs_recapture,jump_two_hand_presence_low,
跳,left_hand_landmarks_rotate_internal_2_sparse_masked,positive,True,84.67774033010186,75.0,left_hand_landmarks,sparse_visible,rotate_internal_2,2,2,2,1.0,True,score_valid,score_valid,
跳,left_hand_landmarks_rotate_internal_2_full_recapture,diagnostic,True,2.1609837573499253,55.0,left_hand_landmarks,full_visible,rotate_internal_2,16,16,16,1.0,True,needs_recapture,jump_two_hand_presence_low,
跳,left_hand_landmarks_rotate_internal_5_sparse_masked,positive,True,84.67774033010186,75.0,left_hand_landmarks,sparse_visible,rotate_internal_5,2,2,2,1.0,True,score_valid,score_valid,
跳,left_hand_landmarks_rotate_internal_5_full_recapture,diagnostic,True,2.1609837573499253,55.0,left_hand_landmarks,full_visible,rotate_internal_5,16,16,16,1.0,True,needs_recapture,jump_two_hand_presence_low,
跳,left_hand_landmarks_reverse_each_chain_sparse_masked,positive,True,84.67774033010186,75.0,left_hand_landmarks,sparse_visible,reverse_each_chain,2,2,2,1.0,True,score_valid,score_valid,
跳,left_hand_landmarks_reverse_each_chain_full_recapture,diagnostic,True,2.1609837573499253,55.0,left_hand_landmarks,full_visible,reverse_each_chain,16,16,16,1.0,True,needs_recapture,jump_two_hand_presence_low,
跳,left_hand_landmarks_swap_base_tip_each_chain_sparse_masked,positive,True,84.67774033010186,75.0,left_hand_landmarks,sparse_visible,swap_base_tip_each_chain,2,2,2,1.0,True,score_valid,score_valid,
跳,left_hand_landmarks_swap_base_tip_each_chain_full_recapture,diagnostic,True,2.1609837573499253,55.0,left_hand_landmarks,full_visible,swap_base_tip_each_chain,16,16,16,1.0,True,needs_recapture,jump_two_hand_presence_low,
跳,left_hand_landmarks_swap_pip_dip_each_chain_sparse_masked,positive,True,84.67774033010186,75.0,left_hand_landmarks,sparse_visible,swap_pip_dip_each_chain,2,2,2,1.0,True,score_valid,score_valid,
跳,left_hand_landmarks_swap_pip_dip_each_chain_full_recapture,diagnostic,True,2.1609837573499253,55.0,left_hand_landmarks,full_visible,swap_pip_dip_each_chain,16,16,16,1.0,True,needs_recapture,jump_two_hand_presence_low,
跳,left_hand_landmarks_adjacent_chain_swap_preserved,positive,True,98.46847701593097,70.0,left_hand_landmarks,full_visible,swap_index_middle_chain,16,0,0,0.0,True,score_valid,score_valid,
