word,variant,kind,pattern,flicker_frame_count,total_frames,flicker_ratio,score,passed,min_score,max_score,capture_quality_status,capture_quality_reason,semantic_floor_reason,sequence_penalty_total,expected
花,self_recomputed,positive,none,0,53,0.0,100.0,True,95.0,,score_valid,score_valid,query_not_short_core_capture,0.0,same sequence should stay near perfect after feature recomputation
花,single_frame_label_flicker,positive,single_mid,1,53,0.018867924528301886,98.9908127550868,True,90.0,,score_valid,score_valid,query_not_short_core_capture,0.01184518354865837,one-frame detector side flicker should not break an otherwise correct sign
花,sparse_label_flicker,positive,sparse_every_5th,11,53,0.20754716981132076,96.80364906239409,True,85.0,,score_valid,score_valid,query_not_short_core_capture,0.028809665356120794,sparse detector side flicker should remain scoreable
花,sustained_core_label_flicker_negative,negative,middle_20pct,11,53,0.20754716981132076,27.59332864424146,True,,50.0,needs_recapture,flower_core_hand_presence_low,query_not_short_core_capture,0.1635001639656985,sustained core-side instability should become recapture/semantic-failure evidence
花,alternating_label_flicker_negative,negative,alternating_half,26,53,0.49056603773584906,1.7971730993083892,True,,50.0,needs_recapture,flower_core_hand_presence_low,query_not_short_core_capture,0.4686552324807427,alternating label flicker is too unstable to accept as a normal web capture
跳,self_recomputed,positive,none,0,19,0.0,100.0,True,95.0,,score_valid,score_valid,used,0.0,same sequence should stay near perfect after feature recomputation
跳,single_frame_label_flicker,positive,single_mid,1,19,0.05263157894736842,70.46895751687171,True,65.0,,score_valid,score_valid,used,0.11067931664894338,one-frame detector side flicker should not break an otherwise correct sign
跳,sparse_label_flicker,positive,sparse_every_5th,4,19,0.21052631578947367,84.58735174804502,True,70.0,,score_valid,score_valid,used,0.18568831610456835,sparse detector side flicker should remain scoreable
跳,short_contiguous_role_flicker,positive,middle_20pct,3,19,0.15789473684210525,72.90534046031888,True,65.0,,score_valid,score_valid,used,0.08881444494464236,short role-label flicker should not erase the local jump segment
跳,alternating_label_flicker_negative,negative,alternating_half,9,19,0.47368421052631576,14.618077070958268,True,,50.0,semantic_mismatch,relation_direction_mismatch,relation_direction_mismatch,0.23124666505740263,alternating label flicker is too unstable to accept as a normal web capture
