word,variant,kind,gated,passed,score,min_score,operations,operation_counts,changed_frames,changed_visible_points,total_frames,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,[],{},0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
花,both_hands_inner_axis_smooth_0.30,positive,True,True,80.84592120819875,70.0,"[{""operation"": ""axis_smooth"", ""groups"": [""left_hand"", ""right_hand""], ""fingers"": [""thumb"", ""index"", ""middle"", ""ring"", ""pinky""], ""amount"": 0.3, ""every_n"": 1}]","{""axis_smooth"": 400}",40,400,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,双手内关节向 MCP-tip 轴轻微线性化，模拟低分辨率下细小关节弯折被平滑。
花,right_hand_inner_axis_smooth_0.45,positive,True,True,80.5469163823861,70.0,"[{""operation"": ""axis_smooth"", ""groups"": [""right_hand""], ""fingers"": [""thumb"", ""index"", ""middle"", ""ring"", ""pinky""], ""amount"": 0.45, ""every_n"": 1}]","{""axis_smooth"": 400}",40,400,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,右手内关节中等线性化，覆盖主导手局部细节损失但保留指尖伸展。
花,sparse_both_hands_inner_axis_smooth_0.70_every_5f,positive,True,True,97.87244626390708,70.0,"[{""operation"": ""axis_smooth"", ""groups"": [""left_hand"", ""right_hand""], ""fingers"": [""thumb"", ""index"", ""middle"", ""ring"", ""pinky""], ""amount"": 0.7, ""every_n"": 5}]","{""axis_smooth"": 80}",8,80,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,每 5 帧一次较强内关节线性化，模拟偶发低细节关键帧。
花,flower_opening_right_inner_axis_smooth_0.60,positive,True,True,80.3393197898726,70.0,"[{""operation"": ""axis_smooth"", ""groups"": [""right_hand""], ""fingers"": [""thumb"", ""index"", ""middle"", ""ring"", ""pinky""], ""amount"": 0.6, ""every_n"": 1}]","{""axis_smooth"": 400}",40,400,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,花的右手绽放手形保留指尖外展，只压低 PIP/DIP 细节。
花,flower_opening_right_tip_anchor_blend_0.30_diagnostic,diagnostic,False,True,78.49301734181118,,"[{""operation"": ""tip_anchor_blend"", ""groups"": [""right_hand""], ""fingers"": [""thumb"", ""index"", ""middle"", ""ring"", ""pinky""], ""amount"": 0.3, ""every_n"": 1}]","{""tip_anchor_blend"": 600}",40,600,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,花的绽放指尖明显向掌心塌缩可能破坏手形，只作为诊断边界。
花,both_hands_tip_anchor_blend_0.38_diagnostic,diagnostic,False,True,77.72740602897701,,"[{""operation"": ""tip_anchor_blend"", ""groups"": [""left_hand"", ""right_hand""], ""fingers"": [""thumb"", ""index"", ""middle"", ""ring"", ""pinky""], ""amount"": 0.38, ""every_n"": 1}]","{""tip_anchor_blend"": 600}",40,600,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,双手强细节塌缩不代表正常网页低细节采集，只记录分数。
跳,self_recomputed,positive,True,True,100.0,95.0,[],{},0,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
跳,both_hands_inner_axis_smooth_0.30,positive,True,True,78.0688744581454,70.0,"[{""operation"": ""axis_smooth"", ""groups"": [""left_hand"", ""right_hand""], ""fingers"": [""thumb"", ""index"", ""middle"", ""ring"", ""pinky""], ""amount"": 0.3, ""every_n"": 1}]","{""axis_smooth"": 330}",18,330,19,semantic_action_window,score_valid,score_valid,action_window_net,used,双手内关节向 MCP-tip 轴轻微线性化，模拟低分辨率下细小关节弯折被平滑。
跳,right_hand_inner_axis_smooth_0.45,positive,True,True,77.23412543093502,70.0,"[{""operation"": ""axis_smooth"", ""groups"": [""right_hand""], ""fingers"": [""thumb"", ""index"", ""middle"", ""ring"", ""pinky""], ""amount"": 0.45, ""every_n"": 1}]","{""axis_smooth"": 170}",17,170,19,semantic_action_window,score_valid,score_valid,action_window_net,used,右手内关节中等线性化，覆盖主导手局部细节损失但保留指尖伸展。
