word,variant,kind,gated,passed,score,min_score,dtw_distance,normalized_distance,result_finite,vector_nonfinite,mask_nonfinite,zero_mask_values,pattern,active_frame_count,changed_values,skipped_values,total_records,fixture_json,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,exception,rationale
花,self_reloaded,positive,True,True,100.0,95.0,0.0,0.0,True,0,0,5478,none,0,0,0,53,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_finite_coordinate_65gate_v1/finite_coordinate_robustness_gate/fixtures/花/self_reloaded.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,原始标准 JSON 经正常 load_sequence 重载，应保持近满分且所有距离有限。
花,pose_face_sparse_nan_inf,positive,True,True,77.58102544566853,70.0,0.00500288453930549,0.0400597343424305,True,0,0,5667,sparse_every_7f,7,63,0,53,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_finite_coordinate_65gate_v1/finite_coordinate_robustness_gate/fixtures/花/pose_face_sparse_nan_inf.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,非核心 pose/face 稀疏坏点应被当作缺失，不应污染手部语义评分。
花,pose_shoulder_first3_inf,positive,True,True,100.0,70.0,0.0,0.0,True,0,0,5496,first_3,3,12,0,53,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_finite_coordinate_65gate_v1/finite_coordinate_robustness_gate/fixtures/花/pose_shoulder_first3_inf.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,起始几帧肩部归一化锚点异常时，应回退到有限 pose 点或默认归一化。
花,flower_right_index_tip_single_nan,positive,True,True,99.94694281766942,70.0,0.00012606970988615396,0.00015889864224556265,True,0,0,5487,single_mid,1,1,0,53,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_finite_coordinate_65gate_v1/finite_coordinate_robustness_gate/fixtures/花/flower_right_index_tip_single_nan.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,开花核心手单帧 index tip NaN 应被视为该点缺失，完整开合证据仍应保留。
花,flower_right_outer_tips_sparse_inf,positive,True,True,99.31233788832027,70.0,0.001159659394492539,0.0017543328410047233,True,0,0,5583,sparse_every_5f,10,28,12,53,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_finite_coordinate_65gate_v1/finite_coordinate_robustness_gate/fixtures/花/flower_right_outer_tips_sparse_inf.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,开花 ring/pinky tip 稀疏帧 Inf 坏点应被局部 mask 掉。
花,flower_right_all_distal_middle35_nan_diagnostic,diagnostic,False,True,82.9538550727911,,0.01095415120888732,0.03421862417309901,True,0,0,6713,middle_35pct,19,570,0,53,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_finite_coordinate_65gate_v1/finite_coordinate_robustness_gate/fixtures/花/flower_right_all_distal_middle35_nan_diagnostic.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,诊断记录：开花核心手较长窗口所有 distal finger-chain 坐标坏掉时的边界分。
花,all_pose_full_nan_diagnostic,diagnostic,False,True,23.2207002584149,,0.027451037919348383,0.17521512631423214,True,0,0,6909,full,53,5247,0,53,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_finite_coordinate_65gate_v1/finite_coordinate_robustness_gate/fixtures/花/all_pose_full_nan_diagnostic.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,诊断记录：全段 pose 归一化信息不可用时，打分应保持有限并依靠手部证据或重采诊断。
跳,self_reloaded,positive,True,True,100.0,95.0,0.0,0.0,True,0,0,415,none,0,0,0,19,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_finite_coordinate_65gate_v1/finite_coordinate_robustness_gate/fixtures/跳/self_reloaded.json,score_valid,score_valid,action_window_net,used,,原始标准 JSON 经正常 load_sequence 重载，应保持近满分且所有距离有限。
跳,pose_face_sparse_nan_inf,positive,True,True,76.99879137565065,70.0,0.099550136159599,0.28664391034052933,True,0,0,496,sparse_every_7f,3,27,0,19,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_finite_coordinate_65gate_v1/finite_coordinate_robustness_gate/fixtures/跳/pose_face_sparse_nan_inf.json,score_valid,score_valid,full_sequence_local_relation_segment,used,,非核心 pose/face 稀疏坏点应被当作缺失，不应污染手部语义评分。
跳,pose_shoulder_first3_inf,positive,True,True,78.5453980517561,70.0,0.11957032325077249,0.33399988886908194,True,0,0,433,first_3,3,12,0,19,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_finite_coordinate_65gate_v1/finite_coordinate_robustness_gate/fixtures/跳/pose_shoulder_first3_inf.json,score_valid,score_valid,full_sequence_local_relation_segment,used,,起始几帧肩部归一化锚点异常时，应回退到有限 pose 点或默认归一化。
跳,jump_right_person_tip_single_nan,positive,True,True,70.71354399426619,70.0,0.07185554686233092,0.12847637420800906,True,0,0,431,single_mid,1,2,0,19,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_finite_coordinate_65gate_v1/finite_coordinate_robustness_gate/fixtures/跳/jump_right_person_tip_single_nan.json,score_valid,score_valid,action_window_net,used,,跳的右手两指单帧 tip NaN 应被局部 mask，不应破坏完整弹跳轨迹。
跳,jump_left_ground_sparse_inf,positive,True,True,81.95782774824136,70.0,0.0626350338103571,0.12463454202980667,True,0,0,520,sparse_every_7f,3,15,0,19,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_finite_coordinate_65gate_v1/finite_coordinate_robustness_gate/fixtures/跳/jump_left_ground_sparse_inf.json,score_valid,score_valid,action_window_net,used,,跳的左手地面手稀疏帧锚点 Inf 应被当作缺失，右手小人和多数关系帧仍可评分。
跳,jump_right_person_middle35_nan_diagnostic,diagnostic,False,True,79.71001527702029,,0.243478365319137,0.35094223720136547,True,0,0,611,middle_35pct,7,84,0,19,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_finite_coordinate_65gate_v1/finite_coordinate_robustness_gate/fixtures/跳/jump_right_person_middle35_nan_diagnostic.json,score_valid,score_valid,full_sequence_local_relation_segment,used,,诊断记录：右手两指小人较长窗口 distal 坐标坏掉时的边界分。
跳,all_pose_full_nan_diagnostic,diagnostic,False,True,8.287563237259704,,0.1876162121463105,0.29884970400799743,True,0,0,928,full,19,1881,0,19,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_finite_coordinate_65gate_v1/finite_coordinate_robustness_gate/fixtures/跳/all_pose_full_nan_diagnostic.json,semantic_mismatch,weak_same_direction_vertical_jump,action_window_net,weak_same_direction_vertical_jump,,诊断记录：全段 pose 归一化信息不可用时，打分应保持有限并依靠手部证据或重采诊断。
