word,variant,kind,gated,passed,score,min_score,group_finger_scales,changed_frames,changed_visible_points,dtw_distance,normalized_distance,query_length,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,{},0,0,0.0,0.0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
花,right_opening_all_finger_length_0.92,positive,True,True,80.90403278229513,70.0,"{""right_hand"": {""index"": 0.92, ""middle"": 0.92, ""pinky"": 0.92, ""ring"": 0.92, ""thumb"": 0.92}}",40,600,0.028659911616894594,0.03072644455731427,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花手整体手指长度略短，模拟用户手指比例差异。
花,right_opening_all_finger_length_1.08,positive,True,True,80.88578077550058,70.0,"{""right_hand"": {""index"": 1.08, ""middle"": 1.08, ""pinky"": 1.08, ""ring"": 1.08, ""thumb"": 1.08}}",40,600,0.028716009202138872,0.030759160349962015,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花手整体手指长度略长，仍保留绽放语义。
花,right_opening_index_middle_length_0.88,positive,True,True,81.121556707385,70.0,"{""right_hand"": {""index"": 0.88, ""middle"": 0.88}}",40,240,0.028668201987778103,0.030337111141685056,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花手食指/中指略短，覆盖局部手指比例变化。
花,right_opening_ring_pinky_length_1.12,positive,True,True,80.84883441747604,70.0,"{""right_hand"": {""pinky"": 1.12, ""ring"": 1.12}}",40,240,0.028721451452756525,0.0308254074177323,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花手无名指/小指略长，核心开花语义仍应保留。
花,right_opening_all_finger_length_0.75_diagnostic,diagnostic,False,True,79.67713363317212,,"{""right_hand"": {""index"": 0.75, ""middle"": 0.75, ""pinky"": 0.75, ""ring"": 0.75, ""thumb"": 0.75}}",40,600,0.028630722881362904,0.03294219429152092,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花手整体手指明显缩短，只记录诊断边界。
花,right_opening_all_finger_length_1.30_diagnostic,diagnostic,False,True,79.37809629559098,,"{""right_hand"": {""index"": 1.3, ""middle"": 1.3, ""pinky"": 1.3, ""ring"": 1.3, ""thumb"": 1.3}}",40,600,0.028840295584266207,0.03348741955771,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花手整体手指明显拉长，只记录诊断边界。
跳,self_recomputed,positive,True,True,100.0,95.0,{},0,0,0.0,0.0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
跳,right_person_index_middle_length_0.90,positive,True,True,93.64916224589037,70.0,"{""right_hand"": {""index"": 0.9, ""middle"": 0.9}}",17,102,0.015731603553100017,0.01664124554155424,19,semantic_action_window,score_valid,score_valid,action_window_net,used,右手两指小人长度略短，双手关系和角色保持。
跳,right_person_index_middle_length_1.10,positive,True,True,93.58708573759164,70.0,"{""right_hand"": {""index"": 1.1, ""middle"": 1.1}}",17,102,0.015880486987260238,0.016805883522444408,19,semantic_action_window,score_valid,score_valid,action_window_net,used,右手两指小人长度略长，仍保持跳跃语义。
跳,right_nonsemantic_finger_length_0.85,positive,True,True,96.3060516945698,70.0,"{""right_hand"": {""pinky"": 0.85, ""ring"": 0.85, ""thumb"": 0.85}}",17,153,0.008028730154637755,0.00919761025840236,19,semantic_action_window,score_valid,score_valid,action_window_net,used,右手非语义手指略短，不应影响两指小人核心。
跳,left_ground_all_finger_length_1.15,positive,True,True,95.14228628442483,70.0,"{""left_hand"": {""index"": 1.15, ""middle"": 1.15, ""pinky"": 1.15, ""ring"": 1.15, ""thumb"": 1.15}}",16,240,0.011664748700678356,0.012533436246725056,19,semantic_action_window,score_valid,score_valid,action_window_net,used,左手地面手指比例略长，手部位置和双手关系保持。
跳,right_person_index_middle_length_0.72_diagnostic,diagnostic,False,True,83.38265384947373,,"{""right_hand"": {""index"": 0.72, ""middle"": 0.72}}",17,102,0.0435611956491304,0.04608700275792442,19,semantic_action_window,score_valid,score_valid,action_window_net,used,两指小人明显缩短只记录诊断边界。
跳,right_person_index_middle_length_1.35_diagnostic,diagnostic,False,True,70.33148468336691,,"{""right_hand"": {""index"": 1.35, ""middle"": 1.35}}",17,102,0.09387106218008814,0.12506609366187457,19,semantic_action_window,score_valid,score_valid,action_window_net,used,两指小人明显拉长只记录诊断边界。
