word,variant,kind,gated,passed,score,min_score,groups,scale,frame_span,step,left_hand_presence,right_hand_presence,mean_left_hand_mask,mean_right_hand_mask,mean_left_shape_mask,mean_right_shape_mask,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,phase_order_blocked,phase_order_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,,1.0,all,1,0.0,0.7547169811320755,0.0,0.7547169811320755,0.0,0.7547169811320755,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,标准序列剥离派生组后重建，应保持近满分。
花,flower_all_hands_confidence_0.85,positive,True,True,99.99999937279968,70.0,left_hand+right_hand,0.85,all,1,0.0,0.7547169811320755,0.0,0.6415092720175689,0.0,0.6415094969407568,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,全程双手 landmark 置信度轻度下降，但坐标仍可用。
花,flower_bloom_core_right_confidence_0.65,positive,True,True,100.0,70.0,right_hand,0.65,0.34-0.78,1,0.0,0.7547169811320755,0.0,0.5962265122611567,0.0,0.596226377307244,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,开花手核心段置信度下降到仍高于形状/关系有效阈值。
花,flower_bloom_core_sparse_confidence_0.55,positive,True,True,100.0,70.0,right_hand,0.55,0.34-0.78/step2,2,0.0,0.7547169811320755,0.0,0.652830164387541,0.0,0.6528302048737148,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,开花核心段隔帧低置信，仍应通过时序冗余正常评分。
花,flower_noncore_left_confidence_0.52,positive,True,True,100.0,70.0,left_hand,0.52,all,1,0.0,0.7547169811320755,0.0,0.7547169811320755,0.0,0.7547169811320755,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,非核心左手接近有效阈值的低置信不应拖垮右手绽放语义。
花,flower_bloom_core_right_confidence_0.51_diagnostic,diagnostic,False,True,100.0,,right_hand,0.51,0.34-0.78,1,0.0,0.7547169811320755,0.0,0.53283018436072,0.0,0.5328302113515027,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,核心开花手置信度贴近有效阈值，作为 near-threshold 边界诊断。
花,flower_all_hands_effective_missing_diagnostic,diagnostic,False,True,1.170588026599594,,left_hand+right_hand,0.0,all,1,0.0,0.0,0.0,0.0,0.0,0.0,full_sequence_with_action_window_diagnostics,needs_recapture,flower_core_hand_presence_low,short_visible_core,query_not_short_core_capture,False,passed,低于有效阈值的极端情况按有效缺失记录，不作为软置信正向门。
跳,self_recomputed,positive,True,True,100.0,95.0,,1.0,all,1,0.8421052631578947,0.8947368421052632,0.8421052631578947,0.8947368421052632,0.8421052631578947,0.8947368421052632,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,标准序列剥离派生组后重建，应保持近满分。
跳,jump_all_hands_confidence_0.85,positive,True,True,99.99999956723367,70.0,left_hand+right_hand,0.85,all,1,0.8421052631578947,0.8947368421052632,0.7157892929880243,0.7605261237997758,0.7157895439549496,0.760526390452134,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,双手全程轻度低置信，地面手/小人手关系仍完整。
跳,jump_relation_core_both_confidence_0.65,positive,True,True,99.92210917217642,70.0,left_hand+right_hand,0.65,0.22-0.76,1,0.8421052631578947,0.8947368421052632,0.6578948497772217,0.6921053873865228,0.6578946929228934,0.6921052148467616,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,起跳/双手关系核心段双手低置信，但仍高于关系特征有效阈值。
跳,jump_relation_core_sparse_confidence_0.55,positive,True,True,99.85588933113378,70.0,left_hand+right_hand,0.55,0.22-0.76/step2,2,0.8421052631578947,0.8947368421052632,0.7236841822925367,0.7526315450668335,0.7236842293488351,0.7526316015343917,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,起跳核心隔帧低置信，仍应保留双手关系方向。
跳,jump_right_person_hand_confidence_0.60,positive,True,True,99.93188395465107,70.0,right_hand,0.6,0.22-0.76,1,0.8421052631578947,0.8947368421052632,0.8421052631578947,0.663157770508214,0.8421052631578947,0.6631579430479753,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,右手两指小人核心段轻中度低置信，仍应可评分。
跳,jump_relation_core_both_confidence_0.51_diagnostic,diagnostic,False,True,99.8808670325207,,left_hand+right_hand,0.51,0.22-0.76,1,0.8421052631578947,0.8947368421052632,0.584210521296451,0.611052626057675,0.5842105526673166,0.6110526605656272,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,双手关系核心置信度贴近有效阈值，作为 near-threshold 边界诊断。
跳,jump_all_hands_effective_missing_diagnostic,diagnostic,False,True,0.12453567658137939,,left_hand+right_hand,0.0,all,1,0.0,0.0,0.0,0.0,0.0,0.0,semantic_action_window,needs_recapture,jump_two_hand_presence_low,,insufficient_two_hand_presence,False,passed,低于有效阈值的极端情况按有效缺失记录，不作为软置信正向门。
