word,variant,kind,gated,passed,score,min_score,query_length,standard_length,phase_min,phase_max,phase_span,energy_min,energy_max,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,phase_order_blocked,phase_order_reason,rationale
花,self_rebuilt,positive,True,True,100.0,95.0,53,53,0.0,1.0,1.0,0.5968769788742065,2.4002561569213867,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,剥离基础组后重建完整序列，应保持近满分。
花,frontend_energy_coverage_12f,positive,True,True,78.76561449563513,70.0,12,53,0.0,1.0,1.0,0.5968769788742065,2.4002561569213867,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,used,False,passed,模拟前端推荐上传帧数：覆盖采样加高运动帧补齐。
花,frontend_energy_coverage_16f,positive,True,True,94.47860891763224,70.0,16,53,0.0,1.0,1.0,0.5968769788742065,2.4002561569213867,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,used,False,passed,比最低推荐多少量帧的前端能量覆盖选择。
花,frontend_energy_coverage_20f,positive,True,True,95.23201488521883,70.0,20,53,0.0,1.0,1.0,0.5968769788742065,2.4002561569213867,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,帧数更充足时的前端能量覆盖选择。
花,frontend_energy_weighted_16f,positive,True,True,94.51597725976433,70.0,16,53,0.0,1.0,1.0,0.5968769788742065,2.4002561569213867,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,used,False,passed,同时模拟前端选帧和对应 upload frame_weights。
花,top_energy_with_endpoints_16f,diagnostic,False,True,26.639324942747322,,16,53,0.0,1.0,1.0,0.5968769788742065,2.4002561569213867,full_sequence_with_action_window_diagnostics,semantic_mismatch,phase_order_disorder,short_visible_core,phase_order_disorder,True,phase_order_disorder,只保留端点再偏向高运动峰值，记录缺相位覆盖的坏选帧边界。
花,top_energy_no_endpoints_12f_diagnostic,diagnostic,False,True,4.90070926077935,,12,53,0.28846153846153844,0.5,0.21153846153846156,0.5968769788742065,2.4002561569213867,full_sequence_with_action_window_diagnostics,semantic_mismatch,phase_order_disorder,short_visible_core,phase_order_disorder,True,phase_order_disorder,只取高运动峰值而不保证起止覆盖，记录前端选择失误边界。
花,low_energy_with_endpoints_12f_diagnostic,diagnostic,False,True,5.314455985282941,,12,53,0.0,1.0,1.0,0.5968769788742065,2.4002561569213867,full_sequence_with_action_window_diagnostics,needs_recapture,flower_core_hand_presence_low,short_visible_core,insufficient_core_hand_presence,False,passed,只取低运动帧会丢失核心动态，作为坏选帧诊断边界。
跳,self_rebuilt,positive,True,True,100.0,95.0,19,19,0.0,1.0,1.0,0.6310629844665527,1.5345745086669922,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,剥离基础组后重建完整序列，应保持近满分。
跳,frontend_energy_coverage_6f,positive,True,True,74.68994691545514,70.0,6,19,0.0,1.0,1.0,0.6310629844665527,1.5345745086669922,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,模拟前端推荐上传帧数：覆盖采样加高运动帧补齐。
跳,frontend_energy_coverage_8f,positive,True,True,81.53028630720405,70.0,8,19,0.0,1.0,1.0,0.6310629844665527,1.5345745086669922,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,比最低推荐多少量帧的前端能量覆盖选择。
跳,frontend_energy_coverage_10f,positive,True,True,83.19789091559389,70.0,10,19,0.0,1.0,1.0,0.6310629844665527,1.5345745086669922,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,帧数更充足时的前端能量覆盖选择。
跳,frontend_energy_weighted_8f,positive,True,True,81.56074624828604,70.0,8,19,0.0,1.0,1.0,0.6310629844665527,1.5345745086669922,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,同时模拟前端选帧和对应 upload frame_weights。
跳,top_energy_with_endpoints_8f,diagnostic,False,True,80.52492722427273,,8,19,0.0,1.0,1.0,0.6310629844665527,1.5345745086669922,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,只保留端点再偏向高运动峰值，记录缺相位覆盖的坏选帧边界。
跳,top_energy_no_endpoints_6f_diagnostic,diagnostic,False,True,73.55518065264872,,6,19,0.16666666666666666,0.5555555555555556,0.38888888888888895,0.6310629844665527,1.5345745086669922,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,只取高运动峰值而不保证起止覆盖，记录前端选择失误边界。
跳,low_energy_with_endpoints_6f_diagnostic,diagnostic,False,True,6.557798597656342,,6,19,0.0,1.0,1.0,0.6310629844665527,1.5345745086669922,semantic_action_window,semantic_mismatch,relation_direction_mismatch,action_window_net,relation_direction_mismatch,False,passed,只取低运动帧会丢失核心动态，作为坏选帧诊断边界。
