word,variant,kind,gated,passed,score,min_score,drift_groups,drift_landmarks,pattern,drift_xyz,drift_magnitude_xy,active_frame_count,changed_frames,changed_points,skipped_points,total_frames,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,[],[],none,"[0.0, 0.0, 0.0]",0.0,0,0,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
花,flower_single_right_wrist_xy_0.055,positive,True,True,99.77828085758831,70.0,['right_hand'],[0],single_mid,"[0.04500000178813934, -0.03200000151991844, 0.0]",0.05521775409579277,1,1,1,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心右手 wrist 单帧漂移，但指尖和 MCP 仍可见。
花,flower_sparse_right_wrist_y_0.040_every_6f,positive,True,True,97.65066515792297,70.0,['right_hand'],[0],sparse_every_6f,"[0.0, 0.03999999910593033, 0.0]",0.03999999910593033,9,8,8,1,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心右手 wrist 稀疏帧纵向跳动，模拟短时根点估计漂移。
花,flower_middle20_right_mcp_anchor_xy_0.029,positive,True,True,97.2825993687612,70.0,['right_hand'],"[5, 9, 13, 17]",middle_20pct,"[0.024000000208616257, -0.01600000075995922, 0.0]",0.028844410553574562,11,11,44,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心右手 MCP 根点在短核心窗口轻度偏移，手指末端仍保留。
花,flower_middle20_right_palm_anchor_y_0.022,positive,True,True,97.44361841325548,70.0,['right_hand'],"[0, 1, 5, 9, 13, 17]",middle_20pct,"[0.0, 0.02199999988079071, 0.0]",0.02199999988079071,11,11,66,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心右手 palm anchors 短窗口同向轻漂移，验证根点坐标容错。
花,flower_middle35_right_wrist_xy_0.145_diagnostic,diagnostic,False,True,94.44419641020355,,['right_hand'],[0],middle_35pct,"[0.11500000208616257, -0.08799999952316284, 0.0]",0.14480677247047424,19,19,19,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,诊断记录：核心右手 wrist 较长窗口大幅漂移时的边界分。
花,flower_middle35_right_palm_anchor_xy_0.090_diagnostic,diagnostic,False,True,94.78715718704746,,['right_hand'],"[0, 1, 5, 9, 13, 17]",middle_35pct,"[0.07199999690055847, -0.05400000140070915, 0.0]",0.08999999612569809,19,19,114,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,诊断记录：核心右手多个 palm anchors 较强漂移时的边界分。
跳,self_recomputed,positive,True,True,100.0,95.0,[],[],none,"[0.0, 0.0, 0.0]",0.0,0,0,0,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
跳,jump_single_left_ground_wrist_y_0.055,positive,True,True,99.40384748547903,70.0,['left_hand'],[0],single_mid,"[0.0, 0.054999999701976776, 0.0]",0.054999999701976776,1,1,1,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的左手地面 wrist 单帧漂移，右手小人和双手关系仍可见。
跳,jump_single_right_person_wrist_y_0.055,positive,True,True,98.46415769604995,70.0,['right_hand'],[0],single_mid,"[0.0, -0.054999999701976776, 0.0]",0.054999999701976776,1,1,1,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的右手两指小人 wrist 单帧漂移，核心手指动作仍可见。
跳,jump_sparse_left_ground_wrist_xy_0.038_every_6f,positive,True,True,97.49001352851488,70.0,['left_hand'],[0],sparse_every_6f,"[-0.029999999329447746, 0.024000000208616257, 0.0]",0.03841874748468399,3,3,3,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的左手地面 wrist 稀疏漂移，模拟地面手根点追踪跳动。
跳,jump_sparse_right_person_wrist_xy_0.038_every_6f,positive,True,True,98.54689620791844,70.0,['right_hand'],[0],sparse_every_6f,"[0.029999999329447746, -0.024000000208616257, 0.0]",0.03841874748468399,3,3,3,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的右手小人 wrist 稀疏漂移，动作轨迹仍应可评分。
跳,jump_middle20_left_ground_palm_anchor_x_0.020,positive,True,True,98.47769591659863,70.0,['left_hand'],"[0, 1, 5, 9, 13, 17]",middle_20pct,"[-0.019999999552965164, 0.0, 0.0]",0.019999999552965164,3,3,18,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的左手地面 palm anchors 短窗口轻度横向漂移，关系证据仍保留。
