word,variant,kind,passed,score,threshold,group,pattern,operation,corrupted_frame_count,quantization_bypassed_frame_count,minimum_bone_length_ratio,maximum_bone_length_ratio,handling_rate,minimum_remaining_point_count,capture_quality,capture_reason,exception
花,self_reloaded,positive,True,100.0,95.0,,none,none,0,0,,,,,score_valid,score_valid,
花,right_hand_landmarks_all_edges_short_sparse_preserved,positive,True,98.5067261554294,75.0,right_hand_landmarks,sparse_visible,all_edges_short,6,0,0.0014991607235716497,0.0015000630830100086,1.0,1,score_valid,score_valid,
花,right_hand_landmarks_all_edges_short_full_recapture,diagnostic,True,10.07561559970488,55.0,right_hand_landmarks,full_visible,all_edges_short,40,0,0.0014982500075999797,0.0015013260091050942,1.0,1,semantic_mismatch,flower_opening_guard_failed,
花,right_hand_landmarks_all_distal_long_sparse_preserved,positive,True,98.83345591854618,75.0,right_hand_landmarks,sparse_visible,all_distal_long,6,0,0.15791933315762796,2.2000001492589667,1.0,11,score_valid,score_valid,
花,right_hand_landmarks_all_distal_long_full_recapture,diagnostic,True,10.730961832385875,55.0,right_hand_landmarks,full_visible,all_distal_long,40,0,0.10344208809514514,2.2000001492589667,1.0,11,semantic_mismatch,flower_opening_guard_failed,
花,right_hand_landmarks_single_index_tip_short_sparse_preserved,positive,True,99.4839497419899,70.0,right_hand_landmarks,sparse_visible,single_index_tip_short,6,0,0.0014994506118891021,0.6131153480028512,1.0,19,score_valid,score_valid,
花,right_hand_landmarks_xyz_1_256_quantized_preserved,positive,True,78.51176497182736,70.0,right_hand_landmarks,full_visible,quantize_xyz_1_256,0,40,,,1.0,21,score_valid,score_valid,
花,right_hand_landmarks_all_distal_long_plus_thumb_tip_out_of_bounds_full_recapture,diagnostic,True,10.758614468743524,55.0,right_hand_landmarks,full_visible,all_distal_long_plus_thumb_tip_out_of_bounds,40,0,0.10344208809514514,2.2000001492589667,1.0,12,semantic_mismatch,flower_opening_guard_failed,
跳,self_reloaded,positive,True,100.0,95.0,,none,none,0,0,,,,,score_valid,score_valid,
跳,right_hand_landmarks_all_edges_short_sparse_preserved,positive,True,81.64174594701753,75.0,right_hand_landmarks,sparse_visible,all_edges_short,2,0,0.0015009980891057709,0.0015010982041476022,1.0,1,score_valid,score_valid,
跳,right_hand_landmarks_all_edges_short_full_recapture,diagnostic,True,0.971800374335323,55.0,right_hand_landmarks,full_visible,all_edges_short,17,0,0.0014989890514308824,0.001501302768108179,1.0,1,semantic_mismatch,phase_order_disorder,
跳,right_hand_landmarks_all_distal_long_sparse_preserved,positive,True,81.64174594701753,75.0,right_hand_landmarks,sparse_visible,all_distal_long,2,0,0.07189706223332099,2.200000076146413,1.0,11,score_valid,score_valid,
跳,right_hand_landmarks_all_distal_long_full_recapture,diagnostic,True,1.534660005280852,55.0,right_hand_landmarks,full_visible,all_distal_long,17,0,0.061783395902299386,2.20000014570752,1.0,11,semantic_mismatch,missing_relation_delta,
跳,right_hand_landmarks_single_index_tip_short_sparse_preserved,positive,True,70.71354399426619,70.0,right_hand_landmarks,sparse_visible,single_index_tip_short,2,0,0.0014992700711949922,0.43944555512448225,1.0,19,score_valid,score_valid,
跳,right_hand_landmarks_xyz_1_256_quantized_preserved,positive,True,78.5510618902281,70.0,right_hand_landmarks,full_visible,quantize_xyz_1_256,0,17,,,1.0,21,score_valid,score_valid,
跳,right_hand_landmarks_all_distal_long_plus_thumb_tip_out_of_bounds_full_recapture,diagnostic,True,1.5844737928492663,55.0,right_hand_landmarks,full_visible,all_distal_long_plus_thumb_tip_out_of_bounds,17,0,0.061783395902299386,2.20000014570752,1.0,12,semantic_mismatch,missing_relation_delta,
跳,left_hand_landmarks_all_edges_short_sparse_preserved,positive,True,88.90262709303171,75.0,left_hand_landmarks,sparse_visible,all_edges_short,2,0,0.0015000917322282297,0.0015003736145014792,1.0,1,score_valid,score_valid,
跳,left_hand_landmarks_all_edges_short_full_recapture,diagnostic,True,6.762490201732685,55.0,left_hand_landmarks,full_visible,all_edges_short,16,0,0.0014991853723862253,0.0015006282493036638,1.0,1,semantic_mismatch,missing_relation_delta,
跳,left_hand_landmarks_all_distal_long_sparse_preserved,positive,True,97.50265429342045,75.0,left_hand_landmarks,sparse_visible,all_distal_long,2,0,0.26594165043365964,2.2000000899335572,1.0,11,score_valid,score_valid,
跳,left_hand_landmarks_all_distal_long_full_recapture,positive,True,85.0,75.0,left_hand_landmarks,full_visible,all_distal_long,16,0,0.21747686008660114,2.2000001995956855,1.0,11,score_valid,score_valid,
跳,left_hand_landmarks_single_index_tip_short_sparse_preserved,positive,True,99.43648843630811,70.0,left_hand_landmarks,sparse_visible,single_index_tip_short,2,0,0.0014999551632035501,0.5165457928903806,1.0,19,score_valid,score_valid,
跳,left_hand_landmarks_xyz_1_256_quantized_preserved,positive,True,96.13194490684923,70.0,left_hand_landmarks,full_visible,quantize_xyz_1_256,0,16,,,1.0,21,score_valid,score_valid,
