request_id,target_word,other_word,query_json,frame_count,timeline_frame_count,capture_fps,error,target_score,other_score,margin,target_band,other_band,target_capture_quality_status,target_capture_quality_reason,other_capture_quality_status,other_capture_quality_reason,target_score_scale_reason,other_score_scale_reason,target_semantic_floor_reason,other_semantic_floor_reason,target_core_presence,other_core_presence,eligible_for_gate,confusion_pass,confusion_reason
web_20260522_222243_a23d679c,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_222243_a23d679c/holistic/user_花_web_20260522_222243_a23d679c_holistic_results.json,12,,3.6811926605504586,,74.85431844234562,2.5985072560355733,72.25581118631004,borderline,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,flower_short_visible_core_semantic_floor,short_action_window_with_query_energy_peak,used,insufficient_two_hand_presence,1.0,0.0,True,True,passed
web_20260522_225356_550e19fe,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_225356_550e19fe/holistic/user_花_web_20260522_225356_550e19fe_holistic_results.json,15,,5.0,,78.24233824421282,1.8340520724240243,76.40828617178879,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,flower_short_visible_core_semantic_floor,short_action_window_with_query_energy_peak,used,insufficient_two_hand_presence,1.0,0.0,True,True,passed
web_20260522_225823_46498d30,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_225823_46498d30/holistic/user_花_web_20260522_225823_46498d30_holistic_results.json,15,,5.0,,77.9730022213811,1.3659056642394485,76.60709655714165,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,flower_short_visible_core_semantic_floor,short_action_window_with_query_energy_peak,used,insufficient_two_hand_presence,0.8333333333333334,0.0,True,True,passed
web_20260522_225845_b21e0f2e,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_225845_b21e0f2e/holistic/user_花_web_20260522_225845_b21e0f2e_holistic_results.json,15,,5.0,,77.61247852053683,1.8279170765430726,75.78456144399375,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,opening_guard_too_weak,insufficient_two_hand_presence,1.0,0.0,True,True,passed
web_20260522_225852_a9aa43d6,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_225852_a9aa43d6/holistic/user_花_web_20260522_225852_a9aa43d6_holistic_results.json,15,,5.0,,78.66210883830772,2.1826798720113993,76.47942896629631,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,opening_guard_too_weak,insufficient_two_hand_presence,1.0,0.0,True,True,passed
web_20260522_231259_51a8c719,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_231259_51a8c719/holistic/user_花_web_20260522_231259_51a8c719_holistic_results.json,6,,2.4541284403669725,,20.468106972978966,0.4719958161704703,19.996111156808496,low,low,needs_recapture,flower_core_hand_presence_low,needs_recapture,jump_two_hand_presence_low,default,short_action_window_with_query_energy_peak,opening_guard_too_weak,insufficient_two_hand_presence,0.75,0.0,False,False,not_eligible
web_20260522_231304_9e8827a4,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_231304_9e8827a4/holistic/user_花_web_20260522_231304_9e8827a4_holistic_results.json,15,,5.0,,78.41080676662574,2.287502766518636,76.1233040001071,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,flower_short_visible_core_semantic_floor,short_action_window_with_query_energy_peak,used,insufficient_two_hand_presence,1.0,0.0,True,True,passed
web_20260522_232244_45d260ed,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232244_45d260ed/holistic/user_花_web_20260522_232244_45d260ed_holistic_results.json,30,,10.0,,48.531456318512966,0.8576033185045432,47.67385300000842,low,low,semantic_mismatch,flower_opening_guard_failed,needs_recapture,jump_two_hand_presence_low,default,short_action_window_with_query_energy_peak,query_not_short_core_capture,insufficient_two_hand_presence,1.0,0.0,False,False,not_eligible
web_20260522_232256_781c0807,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232256_781c0807/holistic/user_花_web_20260522_232256_781c0807_holistic_results.json,30,,10.0,,79.8183945734389,0.9971204572307513,78.82127411620814,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,query_not_short_core_capture,insufficient_two_hand_presence,1.0,0.0,True,True,passed
web_20260522_232319_7e3cc881,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232319_7e3cc881/holistic/user_花_web_20260522_232319_7e3cc881_holistic_results.json,72,,24.0,,76.45603789336646,4.500463914952735,71.95557397841372,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,query_not_short_core_capture,insufficient_two_hand_presence,0.9,0.0,True,True,passed
