word,variant,kind,gated,passed,score,min_score,group,landmarks,weights,strength,pattern,active_frame_count,changed_frames,changed_points,skipped_points,mean_source_count,total_frames,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,right_hand,[],[1.0],0.0,none,0,0,0,0,,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
花,flower_right_all_distal_3tap_strength_0p35_full,positive,True,True,80.00967082854011,70.0,right_hand,"[2, 3, 4, 6, 7, 8, 10, 11, 12, 14, 15, 16, 18, 19, 20]","[0.25, 0.5, 0.25]",0.35,full,53,39,585,15,2.9,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手所有 distal finger chains 全程轻度 3 帧平滑，模拟 tracker 稳定化但保留开合轨迹。
花,flower_right_all_distal_5tap_strength_0p45_sparse,positive,True,True,98.33439903190492,70.0,right_hand,"[2, 3, 4, 6, 7, 8, 10, 11, 12, 14, 15, 16, 18, 19, 20]","[0.1, 0.2, 0.4, 0.2, 0.1]",0.45,sparse_every_5f,10,7,105,0,5.0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手稀疏帧 5 帧平滑，模拟低 FPS 选帧处的局部 finger-chain 黏连。
花,flower_right_outer_distal_3tap_strength_0p55_middle20,positive,True,True,97.06490857272733,70.0,right_hand,"[14, 15, 16, 18, 19, 20]","[0.25, 0.5, 0.25]",0.55,middle_20pct,11,11,66,0,3.0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花右手外侧 ring/pinky distal chains 短核心窗口平滑，完整开花证据仍应可评分。
花,flower_right_all_distal_3tap_strength_0p50_middle20,positive,True,True,96.33162313749781,70.0,right_hand,"[2, 3, 4, 6, 7, 8, 10, 11, 12, 14, 15, 16, 18, 19, 20]","[0.25, 0.5, 0.25]",0.5,middle_20pct,11,11,165,0,3.0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花短核心窗口所有 distal finger chains 中度平滑，覆盖较明显但局部的 tracker smoothing。
花,flower_right_all_distal_heavy5_strength_1p00_full_diagnostic,diagnostic,False,True,55.7901735903806,,right_hand,"[2, 3, 4, 6, 7, 8, 10, 11, 12, 14, 15, 16, 18, 19, 20]","[0.16, 0.22, 0.24, 0.22, 0.16]",1.0,full,53,39,585,15,4.75,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,诊断记录：开花核心手所有 distal finger chains 全程强低通时的边界分。
跳,self_recomputed,positive,True,True,100.0,95.0,right_hand,[],[1.0],0.0,none,0,0,0,0,,19,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
跳,jump_right_person_distal_3tap_strength_0p35_full,positive,True,True,94.76674267396565,70.0,right_hand,"[6, 7, 8, 10, 11, 12]","[0.25, 0.5, 0.25]",0.35,full,19,17,102,0,2.8823529411764706,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的右手两指小人 distal chains 全程轻度 3 帧平滑，跳跃轨迹和双手关系仍完整。
跳,jump_left_ground_distal_3tap_strength_0p35_full,positive,True,True,77.7454120410971,70.0,left_hand,"[2, 3, 4, 6, 7, 8, 10, 11, 12, 14, 15, 16, 18, 19, 20]","[0.25, 0.5, 0.25]",0.35,full,19,15,225,15,2.625,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的左手地面手 distal chains 全程轻度平滑，右手小人和关系语义仍应稳定。
跳,jump_right_person_distal_5tap_strength_0p45_sparse,positive,True,True,97.98341410209312,70.0,right_hand,"[6, 7, 8, 10, 11, 12]","[0.1, 0.2, 0.4, 0.2, 0.1]",0.45,sparse_every_5f,4,4,24,0,4.25,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的右手两指小人稀疏帧 5 帧平滑，模拟 tracker 局部时间黏连。
跳,jump_right_person_distal_3tap_strength_0p50_middle20,positive,True,True,97.64430470743855,70.0,right_hand,"[6, 7, 8, 10, 11, 12]","[0.25, 0.5, 0.25]",0.5,middle_20pct,3,3,18,0,3.0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的右手两指核心短窗口中度平滑，仍应保留弹跳语义。
跳,jump_right_person_distal_heavy5_strength_1p00_full_diagnostic,diagnostic,False,True,80.02860895809967,,right_hand,"[6, 7, 8, 10, 11, 12]","[0.16, 0.22, 0.24, 0.22, 0.16]",1.0,full,19,17,102,0,4.647058823529412,19,semantic_action_window,score_valid,score_valid,action_window_net,used,诊断记录：右手两指小人全程强低通时的边界分。
跳,jump_right_person_distal_heavy5_strength_0p85_middle35_diagnostic,diagnostic,False,True,72.65401289473988,,right_hand,"[6, 7, 8, 10, 11, 12]","[0.16, 0.22, 0.24, 0.22, 0.16]",0.85,middle_35pct,7,7,42,0,5.0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,诊断记录：右手两指小人较长核心窗口强平滑时的边界分。
