word,variant,kind,gated,passed,score,min_score,amount,group_fingers,changed_frames,changed_visible_points,dtw_distance,normalized_distance,query_length,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,0.0,{},0,0,0.0,0.0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
花,right_opening_all_fingers_curl_0.10,positive,True,True,80.9821544389379,70.0,0.1,"{""right_hand"": [""thumb"", ""index"", ""middle"", ""ring"", ""pinky""]}",40,600,0.02866567444173679,0.030586498817817304,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花手五指轻微弯曲，但仍保持绽放开合轨迹。
花,right_opening_index_middle_curl_0.16,positive,True,True,81.16701756148477,70.0,0.16,"{""right_hand"": [""index"", ""middle""]}",40,240,0.02867242200673733,0.0302558753055015,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花手食指/中指轻微弯曲，覆盖用户手指不完全伸直。
花,right_opening_ring_pinky_curl_0.16,positive,True,True,80.88690156718717,70.0,0.16,"{""right_hand"": [""ring"", ""pinky""]}",40,240,0.028663147793172153,0.03075715117520884,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花手无名指/小指轻微弯曲，核心开花语义仍应保留。
花,right_opening_all_fingers_curl_0.24_diagnostic,diagnostic,False,True,80.28820667648189,,0.24,"{""right_hand"": [""thumb"", ""index"", ""middle"", ""ring"", ""pinky""]}",40,600,0.028653501234965788,0.03183437903467516,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花手整体较强弯曲只记录诊断边界。
花,right_opening_all_fingers_curl_0.38_diagnostic,diagnostic,False,True,79.54069328279807,,0.38,"{""right_hand"": [""thumb"", ""index"", ""middle"", ""ring"", ""pinky""]}",40,600,0.028640245561487695,0.033190707363583226,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花手强弯曲可能破坏开放手形，只作诊断。
跳,self_recomputed,positive,True,True,100.0,95.0,0.0,{},0,0,0.0,0.0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
跳,right_person_index_middle_curl_0.10,positive,True,True,95.51820269683579,70.0,0.1,"{""right_hand"": [""index"", ""middle""]}",17,102,0.011047414635727126,0.011648167082277647,19,semantic_action_window,score_valid,score_valid,action_window_net,used,右手两指小人轻微弯曲，但仍保持跳跃角色和双手关系。
跳,right_person_index_middle_curl_0.16,positive,True,True,92.93773876614434,70.0,0.16,"{""right_hand"": [""index"", ""middle""]}",17,102,0.017664492512582952,0.018611879174115838,19,semantic_action_window,score_valid,score_valid,action_window_net,used,右手两指小人中等轻微弯曲，覆盖用户两指不完全伸直。
跳,right_nonsemantic_fingers_curl_0.22,positive,True,True,95.89549941910045,70.0,0.22,"{""right_hand"": [""thumb"", ""ring"", ""pinky""]}",17,153,0.008614239360734357,0.010127539263166981,19,semantic_action_window,score_valid,score_valid,action_window_net,used,右手非语义手指弯曲不应影响两指小人核心。
跳,left_ground_all_fingers_curl_0.22,positive,True,True,94.82712438665605,70.0,0.22,"{""left_hand"": [""thumb"", ""index"", ""middle"", ""ring"", ""pinky""]}",16,240,0.012470400726276584,0.01337850297083494,19,semantic_action_window,score_valid,score_valid,action_window_net,used,左手地面手指弯曲风格变化，手部位置和双手关系保持。
跳,right_person_index_middle_curl_0.32_diagnostic,diagnostic,False,True,86.42971842277547,,0.32,"{""right_hand"": [""index"", ""middle""]}",17,102,0.03533788061366614,0.0371178903733515,19,semantic_action_window,score_valid,score_valid,action_window_net,used,两指小人明显弯曲只记录诊断边界。
跳,right_person_index_middle_curl_0.50_diagnostic,diagnostic,False,True,82.20575670522992,,0.5,"{""right_hand"": [""index"", ""middle""]}",17,102,0.055428928502995314,0.06231850225736995,19,semantic_action_window,score_valid,score_valid,action_window_net,used,两指小人强弯曲可能破坏手形语义，只作诊断。
