case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,28,100.0,0.0,0.0
subsample_even,target_positive_variant,high,14,88.84414102698199,0.006774192375521506,0.014194389102951259
trim_start_20pct,target_positive_variant,high,22,92.64792437539474,0.0,0.009163636363636367
trim_end_20pct,target_positive_variant,high,22,81.43723563990888,0.0035294114666826583,0.02464050927357495
trim_both_10pct,target_positive_variant,high,22,88.87118789170975,0.0019354838277063063,0.01415786300458778
amplitude_0.85,target_positive_variant,high,28,85.3151926045353,0.012352942543871263,0.019058116733038647
amplitude_1.15,target_positive_variant,high,28,85.93743586371468,0.012352942543871263,0.018186077332874116
fake_reverse_time,synthetic_fake_action,low,28,32.568916560396715,0.011428566489900862,0.13461741986505857
fake_shuffle_frames,synthetic_fake_action,low,28,49.04946134429832,0.008499997854232787,0.08548091781655652
fake_static_hold,synthetic_fake_action,low,28,9.722693102998676,0.011190477581251235,0.2796849045218774
fake_random_landmarks,synthetic_fake_action,low,28,7.93361003915386,0.012352942543871263,0.3040874418842503
fake_random_walk,synthetic_fake_action,low,28,18.792830456156295,0.012352942543871263,0.20060336971236073
other_demo_唱歌,other_demo_action,low,14,15.765217686398339,0.1572462279221107,0.2216836901854139
other_demo_指示,other_demo_action,low,16,17.970501330519532,0.15243808684810514,0.20597263048671047
other_demo_月亮,other_demo_action,low,24,21.941900468826258,0.016734688865895173,0.182012653644739
other_demo_朋友,other_demo_action,low,15,17.20961834659081,0.12790895303090413,0.21116421027228766
other_demo_汽车,other_demo_action,low,23,24.76862767623723,0.01079999566078186,0.16747108160118518
other_demo_虎,other_demo_action,low,29,7.346577900481045,0.07919433983889493,0.3133122687547363
other_demo_谗_羡慕,other_demo_action,low,17,42.244993299290726,0.010714282592137655,0.10340212091984834
other_demo_跳,other_demo_action,low,10,16.320487660025726,0.07838807787214007,0.2175298746923442
other_demo_香蕉,other_demo_action,low,22,17.31592663007525,0.06705766916275024,0.21042521922416704
