case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,19,100.0,0.0,0.0
subsample_even,target_positive_variant,high,10,81.0166695025678,0.03091235283603185,0.04871206960155777
trim_start_20pct,target_positive_variant,high,15,95.46299728501893,0.0045,0.009932665782362243
trim_end_20pct,target_positive_variant,high,15,95.46299728501893,0.0045,0.009932665782362243
trim_both_10pct,target_positive_variant,high,15,94.44662485077997,0.0045,0.011859358941202313
amplitude_0.85,target_positive_variant,high,19,96.45623530458013,0.00033534994297205155,0.006611916601416757
amplitude_1.15,target_positive_variant,high,19,96.90153070506223,0.00028841274194443383,0.005766421143609148
fake_reverse_time,synthetic_fake_action,low,19,16.280163496243308,0.12366778203228869,0.32674010088552075
fake_shuffle_frames,synthetic_fake_action,low,19,11.485489957788529,0.07610395465134837,0.38953542421575527
fake_static_hold,synthetic_fake_action,low,19,43.730841812947595,0.030253262040813297,0.0992539884611561
fake_random_landmarks,synthetic_fake_action,low,19,0.004850376194396938,1.1686625363206267,1.788096455491297
fake_random_walk,synthetic_fake_action,low,19,0.024781915186750603,1.1807637311087644,1.4945060347478734
other_demo_唱歌,other_demo_action,low,27,9.408978202581554,0.23045223557532,0.4254310484320273
other_demo_指示,other_demo_action,low,30,7.8804429040924635,0.31352553853809323,0.4573414939670465
other_demo_月亮,other_demo_action,low,47,10.99402632892552,0.31804693936054884,0.397407261907355
other_demo_朋友,other_demo_action,low,28,5.255429983879254,0.31684567968767036,0.5302635050236799
other_demo_汽车,other_demo_action,low,44,6.259121695436666,0.45703979346603085,0.49880345669333803
other_demo_花,other_demo_action,low,53,42.245134055783446,0.0880804456478413,0.15510258163706922
other_demo_虎,other_demo_action,low,54,17.081274086332108,0.20476343063583669,0.31809373293442406
other_demo_谗_羡慕,other_demo_action,low,32,12.724406216422398,0.15548340408784816,0.37109669173143023
other_demo_香蕉,other_demo_action,low,42,18.12437378539662,0.23858776077336127,0.3074242564107776
