standard_frame_idx,query_frame_idx,standard_timestamp_sec,query_timestamp_sec,distance,temporal_weighted_distance,frame_pair_weight,standard_frame_weight,query_frame_weight
0,0,0.0,0.0,0.0,0.0,0.6579985022544861,0.6579985022544861,0.6579985022544861
4,4,0.2724324324324324,0.2724324324324324,0.0,0.0,0.7871415019035339,0.7871415019035339,0.7871415019035339
8,8,0.5448648648648649,0.5448648648648649,0.0,0.0,1.227156400680542,1.227156400680542,1.227156400680542
12,12,0.8172972972972974,0.8172972972972974,0.0,0.0,1.5890454053878782,1.5890454053878784,1.5890454053878784
16,16,1.0897297297297297,1.0897297297297297,0.0,0.0,1.5459488630294798,1.54594886302948,1.54594886302948
20,20,1.3621621621621622,1.3621621621621622,0.0,0.0,1.1190885305404663,1.1190885305404663,1.1190885305404663
24,24,1.6345945945945948,1.6345945945945948,0.0,0.0,0.7776878476142882,0.7776878476142883,0.7776878476142883
28,28,1.907027027027027,1.907027027027027,0.0,0.0,0.7352098822593689,0.7352098822593689,0.7352098822593689
32,32,2.1794594594594594,2.1794594594594594,0.0,0.0,0.7948673367500305,0.7948673367500305,0.7948673367500305
36,36,2.451891891891892,2.451891891891892,0.0,0.0,0.7658545970916748,0.7658545970916748,0.7658545970916748
