case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,19,100.0,0.0,0.0
subsample_even,target_positive_variant,high,10,77.01588255177252,0.026319687492246693,0.05622042395199192
trim_start_20pct,target_positive_variant,high,15,93.52473877495339,0.0045,0.01362495579511121
trim_end_20pct,target_positive_variant,high,15,93.52473877495339,0.0045,0.01362495579511121
trim_both_10pct,target_positive_variant,high,15,93.52473877495339,0.0045,0.01362495579511121
amplitude_0.85,target_positive_variant,high,19,94.0203676832325,0.0018894184736836335,0.01175987141324111
amplitude_1.15,target_positive_variant,high,19,94.69095749834547,0.001850314478355782,0.010466911768492076
fake_reverse_time,synthetic_fake_action,low,19,16.181974451737073,0.13406521479648867,0.3278290052540137
fake_shuffle_frames,synthetic_fake_action,low,19,22.894004955022403,0.05453377625843308,0.2653731183705477
fake_static_hold,synthetic_fake_action,low,19,44.52833262952352,0.03809486211834178,0.09708534133344057
fake_random_landmarks,synthetic_fake_action,low,19,0.0014732900685137911,1.2738840670497382,2.0025769361835657
fake_random_walk,synthetic_fake_action,low,19,0.01751289268364817,0.8950981931690573,1.556997863491683
other_demo_唱歌,other_demo_action,low,27,16.351241475814042,0.1454203628005007,0.3259559448513019
other_demo_指示,other_demo_action,low,30,12.785788557894534,0.19866306463039554,0.37023046214078326
other_demo_月亮,other_demo_action,low,47,17.95869378270817,0.2574034563721114,0.30907725390122626
other_demo_朋友,other_demo_action,low,28,6.44838715876765,0.35224150534290555,0.4934412250835563
other_demo_汽车,other_demo_action,low,44,4.865570673988328,0.5150630533877713,0.5441375115502441
other_demo_花,other_demo_action,low,53,78.41782657084212,0.019483749496792487,0.050580715178598884
other_demo_虎,other_demo_action,low,54,26.38314368560261,0.16565925059616318,0.23984007777344896
other_demo_谗_羡慕,other_demo_action,low,32,23.2809825031856,0.11108496183128416,0.26235600484865784
other_demo_香蕉,other_demo_action,low,42,28.631290981636294,0.18053355978943705,0.2251205956756514
