request_id,target_word,old_score,new_score,delta,new_norm,new_dtw,alignment_mode,used_action_window,standard_full_length,query_full_length,standard_action_length,query_action_length,old_standard_action_length,old_query_action_length,query_json,standard_json,error
web_20260523_021622_26666615,跳,10.535983403133166,10.535983403133166,0.0,0.3819010972614807,0.27657288322524254,semantic_action_window,True,19,30,9,8,9,8,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_021622_26666615/holistic/user_跳_web_20260523_021622_26666615_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/跳/跳_holistic_results.json,
web_20260523_021604_9c415199,跳,27.034157005087632,27.034157005087632,0.0,0.22198667811814454,0.13421278485673802,semantic_action_window,True,19,60,9,17,9,17,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_021604_9c415199/holistic/user_跳_web_20260523_021604_9c415199_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/跳/跳_holistic_results.json,
web_20260523_021006_aef545ce,跳,4.212519102422762,4.212519102422762,0.0,0.5374762805084038,0.47988826265239737,semantic_action_window,True,19,60,9,17,9,17,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_021006_aef545ce/holistic/user_跳_web_20260523_021006_aef545ce_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/跳/跳_holistic_results.json,
web_20260523_020951_6ff2657c,跳,26.373830235321922,26.373830235321922,0.0,0.22618331181149395,0.13503063271373314,semantic_action_window,True,19,60,9,17,9,17,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_020951_6ff2657c/holistic/user_跳_web_20260523_020951_6ff2657c_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/跳/跳_holistic_results.json,
web_20260523_020843_6ba8acd9,花,40.357745674457924,65.31604186314746,24.958296188689538,0.05111190189788748,0.007941950601635358,full_sequence_with_action_window_diagnostics,False,53,60,15,17,15,17,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_020843_6ba8acd9/holistic/user_花_web_20260523_020843_6ba8acd9_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,
web_20260523_020825_2312ad97,花,43.860521620186304,64.02900083163487,20.16847921144857,0.05350008807241694,0.008192659665887307,full_sequence_with_action_window_diagnostics,False,53,45,15,13,15,13,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_020825_2312ad97/holistic/user_花_web_20260523_020825_2312ad97_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,
web_20260523_020807_c15e8c2b,花,20.272808589967102,26.297087957262672,6.02427936729557,0.16028543723918245,0.0079967401127739,full_sequence_with_action_window_diagnostics,False,53,15,15,6,15,6,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_020807_c15e8c2b/holistic/user_花_web_20260523_020807_c15e8c2b_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,
web_20260523_020734_b9299448,花,17.864326075467456,27.612893237944924,9.748567162477467,0.15442648512497992,0.010275684948613776,full_sequence_with_action_window_diagnostics,False,53,15,15,6,15,6,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_020734_b9299448/holistic/user_花_web_20260523_020734_b9299448_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,
web_20260523_020721_d12639c5,花,15.142202018342854,26.8409689242291,11.698766905886245,0.1578288929433197,0.010650173402701768,full_sequence_with_action_window_diagnostics,False,53,15,15,6,15,6,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_020721_d12639c5/holistic/user_花_web_20260523_020721_d12639c5_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,
web_20260523_020656_ffa06ed9,花,14.338281161904472,25.90332105425544,11.565039892350967,0.16209587993637908,0.016339009435084994,full_sequence_with_action_window_diagnostics,False,53,15,15,6,15,6,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_020656_ffa06ed9/holistic/user_花_web_20260523_020656_ffa06ed9_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,
