request_id,generated_at,target_word,frame_count,timeline_frame_count,capture_fps,standard_json,query_json,error,score,band,diagnosis,dtw_distance,normalized_distance,score_distance,alignment_mode,used_action_window,score_scale_reason,capture_quality_status,capture_quality_reason,capture_quality_reliable,semantic_core_presence,semantic_core_guard_passed,semantic_floor_reason,semantic_floor_score,semantic_floor_used,semantic_floor_direction_cosine,semantic_floor_vertical_score,semantic_floor_amplitude_ratio,semantic_floor_horizontal_to_vertical,semantic_floor_relation_presence,flower_opening_passed,flower_opening_score,flower_opening_hand,left_hand_presence,right_hand_presence,two_hand_presence,pose_presence,face_presence,presence_penalty,required_presence_penalty,semantic_delta_penalty,semantic_anchor_penalty,group_left_hand,group_right_hand,group_left_hand_shape,group_right_hand_shape,group_two_hand_relation
web_20260522_222243_a23d679c,2026-05-22T22:22:43,花,12,,3.6811926605504586,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_222243_a23d679c/holistic/user_花_web_20260522_222243_a23d679c_holistic_results.json,,79.02488546156226,normal_like,flower_core_accepted,0.03293650559848775,0.034134069705952806,0.034134069705952806,full_sequence_with_action_window_diagnostics,False,visible_semantic_core_scale,score_valid,score_valid,True,0.75,True,,0.0,,,,,,,True,0.6288242918252945,right_hand_shape,0.0,0.75,0.0,1.0,1.0,0.0,0.0,0.026612535721445695,0.005884829721362231,0.0,0.0,0.0,0.0,0.0
web_20260522_225356_550e19fe,2026-05-22T22:53:57,花,15,,5.0,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_225356_550e19fe/holistic/user_花_web_20260522_225356_550e19fe_holistic_results.json,,78.5594948533121,normal_like,flower_core_accepted,0.032383822226132786,0.034990523045437746,0.034990523045437746,full_sequence_with_action_window_diagnostics,False,visible_semantic_core_scale,score_valid,score_valid,True,0.6666666666666666,True,,0.0,,,,,,,True,1.0,right_hand_shape,0.0,0.6666666666666666,0.0,1.0,1.0,0.0039298245614035115,0.0,0.02480210063114571,0.005884829721362231,0.0,0.0,0.0,0.0,0.0
web_20260522_225823_46498d30,2026-05-22T22:58:24,花,15,,5.0,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_225823_46498d30/holistic/user_花_web_20260522_225823_46498d30_holistic_results.json,,35.28412884609053,low,flower_core_hand_presence_low,0.026385463638864636,0.1250084317094628,0.1250084317094628,full_sequence_with_action_window_diagnostics,False,default,needs_recapture,flower_core_hand_presence_low,False,0.4666666666666667,True,,0.0,,,,,,,True,1.0,right_hand_shape,0.0,0.4666666666666667,0.0,1.0,1.0,0.013361403508771933,0.0,0.07325125137160907,0.005884829721362231,0.0,0.0,0.0,0.0,0.0
web_20260522_225845_b21e0f2e,2026-05-22T22:58:46,花,15,,5.0,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_225845_b21e0f2e/holistic/user_花_web_20260522_225845_b21e0f2e_holistic_results.json,,78.91417014722325,normal_like,flower_core_accepted,0.030874969607407668,0.03433735980600926,0.03433735980600926,full_sequence_with_action_window_diagnostics,False,visible_semantic_core_scale,score_valid,score_valid,True,0.7333333333333333,True,,0.0,,,,,,,True,0.5293908965587616,right_hand_shape,0.0,0.7333333333333333,0.0,1.0,1.0,0.0007859649122807044,0.0,0.039543305005859154,0.005884829721362231,0.0,0.0,0.0,0.0,0.0
web_20260522_225852_a9aa43d6,2026-05-22T22:58:53,花,15,,5.0,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_225852_a9aa43d6/holistic/user_花_web_20260522_225852_a9aa43d6_holistic_results.json,,78.59236781998081,normal_like,flower_core_accepted,0.0320571693577902,0.034929860955209835,0.034929860955209835,full_sequence_with_action_window_diagnostics,False,visible_semantic_core_scale,score_valid,score_valid,True,0.8,True,,0.0,,,,,,,True,0.45,right_hand_shape,0.0,0.8,0.0,1.0,1.0,0.002357894736842108,0.0,0.04201566889248077,0.005884829721362231,0.0,0.0,0.0,0.0,0.0
web_20260522_231259_51a8c719,2026-05-22T23:13:00,花,6,,2.4541284403669725,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_231259_51a8c719/holistic/user_花_web_20260522_231259_51a8c719_holistic_results.json,,7.289176553173654,low,flower_core_hand_presence_low,0.03144471107706818,0.31425355224196866,0.31425355224196866,full_sequence_with_action_window_diagnostics,False,default,needs_recapture,flower_core_hand_presence_low,False,0.5,True,,0.0,,,,,,,True,0.45,right_hand_shape,0.0,0.5,0.0,1.0,1.0,0.011789473684210528,0.0,0.025134537759327735,0.005884829721362231,0.0,0.0,0.0,0.0,0.0
web_20260522_231304_9e8827a4,2026-05-22T23:13:05,花,15,,5.0,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_231304_9e8827a4/holistic/user_花_web_20260522_231304_9e8827a4_holistic_results.json,,78.23367489178048,normal_like,flower_core_accepted,0.032104478585080094,0.035593150857627154,0.035593150857627154,full_sequence_with_action_window_diagnostics,False,visible_semantic_core_scale,score_valid,score_valid,True,0.7333333333333333,True,,0.0,,,,,,,True,1.0,right_hand_shape,0.0,0.7333333333333333,0.0,1.0,1.0,0.0007859649122807044,0.0,0.0676164033751065,0.005884829721362231,0.0,0.0,0.0,0.0,0.0
web_20260522_232244_45d260ed,2026-05-22T23:22:46,花,30,,10.0,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232244_45d260ed/holistic/user_花_web_20260522_232244_45d260ed_holistic_results.json,,40.39248166465142,low,flower_opening_guard_failed,0.026988523569125587,0.10878318188986522,0.10878318188986522,full_sequence_with_action_window_diagnostics,False,default,semantic_mismatch,flower_opening_guard_failed,True,0.6333333333333333,False,,0.0,,,,,,,False,0.1215316593647003,right_hand_shape,0.0,0.6333333333333333,0.0,1.0,1.0,0.005501754385964915,0.0,0.06313701042418789,0.005884829721362231,0.0,0.0,0.0,0.0,0.0
web_20260522_232256_781c0807,2026-05-22T23:22:58,花,30,,10.0,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232256_781c0807/holistic/user_花_web_20260522_232256_781c0807_holistic_results.json,,75.6684032655317,normal_like,flower_core_accepted,0.028956483353693295,0.04042737848489324,0.04042737848489324,full_sequence_with_action_window_diagnostics,False,visible_semantic_core_scale,score_valid,score_valid,True,0.7,True,,0.0,,,,,,,True,1.0,right_hand_shape,0.0,0.7,0.0,1.0,1.0,0.002357894736842108,0.0,0.030222685116424394,0.005884829721362231,0.0,0.0,0.0,0.0,0.0
web_20260522_232319_7e3cc881,2026-05-22T23:23:24,花,72,,24.0,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232319_7e3cc881/holistic/user_花_web_20260522_232319_7e3cc881_holistic_results.json,,80.36743250379638,normal_like,flower_core_accepted,0.03031812936182362,0.03169136823280799,0.03169136823280799,full_sequence_with_action_window_diagnostics,False,visible_semantic_core_scale,score_valid,score_valid,True,0.75,True,,0.0,,,,,,,True,0.9670312535762788,right_hand_shape,0.0,0.75,0.0,1.0,1.0,0.0,0.0,0.030516419355208303,0.005884829721362231,0.0,0.0,0.0,0.0,0.0
