case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,53,100.0,0.0,0.0
subsample_even,target_positive_variant,high,27,94.30948203928972,0.011087056184494806,0.01423720046657329
trim_start_20pct,target_positive_variant,high,42,98.31991847526793,0.0004173848992981963,0.0023045261735228396
trim_end_20pct,target_positive_variant,high,42,96.56976855053848,0.0007638393904752382,0.004685029449442435
trim_both_10pct,target_positive_variant,high,43,98.40990323352872,0.0004336601830443232,0.0022053284442008457
amplitude_0.85,target_positive_variant,high,53,98.88609154214988,0.00017848563222115895,0.0014602063138530784
amplitude_1.15,target_positive_variant,high,53,98.98266894643488,0.0001537015717198337,0.0013269555006916985
fake_reverse_time,synthetic_fake_action,low,53,20.69823904830647,0.027488888133161485,0.18901458713586708
fake_shuffle_frames,synthetic_fake_action,low,53,30.824694871164414,0.025246690219338376,0.14122248428788275
fake_static_hold,synthetic_fake_action,low,53,1.958960930297221,0.02580381159958883,0.47193071891060967
fake_random_landmarks,synthetic_fake_action,low,53,1.274326534298794,0.027656282794528517,0.5235302826386402
fake_random_walk,synthetic_fake_action,low,53,3.593690899144448,0.027672001490728085,0.39911884872183045
other_demo_跳,other_demo_action,low,19,14.997400766142363,0.0647679976273606,0.22767519385897944
other_demo_唱歌,other_demo_action,low,27,21.492215419567216,0.0989008078269134,0.18449752679128983
other_demo_香蕉,other_demo_action,low,42,12.74488622593071,0.05235563903620729,0.24720480901884484
