standard_frame_idx,query_frame_idx,standard_timestamp_sec,query_timestamp_sec,distance,base_distance,semantic_phase_gap,semantic_phase_penalty,temporal_weighted_distance,frame_pair_weight,standard_frame_weight,query_frame_weight,standard_semantic_phase,query_semantic_phase
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
0,2,0.0,0.06791277258566979,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
0,4,0.0,0.13582554517133957,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
0,6,0.0,0.20373831775700935,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
0,8,0.0,0.27165109034267915,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
0,10,0.0,0.33956386292834895,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
0,12,0.0,0.4074766355140187,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
0,14,0.0,0.4753894080996885,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
0,16,0.0,0.5433021806853583,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
2,16,0.06791277258566979,0.5433021806853583,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
4,16,0.13582554517133957,0.5433021806853583,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
6,16,0.20373831775700935,0.5433021806853583,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
8,16,0.27165109034267915,0.5433021806853583,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
10,16,0.33956386292834895,0.5433021806853583,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
12,16,0.4074766355140187,0.5433021806853583,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
14,16,0.4753894080996885,0.5433021806853583,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
16,16,0.5433021806853583,0.5433021806853583,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
18,18,0.611214953271028,0.611214953271028,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
20,20,0.6791277258566979,0.6791277258566979,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
20,22,0.6791277258566979,0.7470404984423676,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
20,24,0.6791277258566979,0.8149532710280374,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
20,26,0.6791277258566979,0.8828660436137072,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
22,26,0.7470404984423676,0.8828660436137072,0.0,0.0,0.0,0.0,0.0,0.6986023187637329,0.6986023187637329,0.6986023187637329,0.0,0.0
