case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,53,100.0,0.0,0.0
subsample_even,target_positive_variant,high,27,90.73628064485422,0.02208750502377828,0.02602242647410798
trim_start_20pct,target_positive_variant,high,42,98.07744481742986,0.0012857142860786617,0.0031652462256459065
trim_end_20pct,target_positive_variant,high,42,95.47702107185225,0.0007638393904752382,0.006050645744169001
trim_both_10pct,target_positive_variant,high,43,98.41949455627527,0.0004336601830443232,0.0021936334561205965
amplitude_0.85,target_positive_variant,high,53,98.89527574280467,0.00017700215979603282,0.0014480973863308334
amplitude_1.15,target_positive_variant,high,53,98.99097219588697,0.00015242196924882613,0.0013160578742628295
fake_reverse_time,synthetic_fake_action,low,53,6.644843649261251,0.08943716216548317,0.3253594827816023
fake_shuffle_frames,synthetic_fake_action,low,53,14.809638581307984,0.04980079511996834,0.2291870354038884
fake_static_hold,synthetic_fake_action,low,53,0.9813743125779182,0.05380961673802939,0.554876581910443
fake_random_landmarks,synthetic_fake_action,low,53,0.15406177519115563,0.17797368175665387,0.7770686166463047
fake_random_walk,synthetic_fake_action,low,53,0.42801063520094856,0.1776750822179558,0.6544532905316167
other_demo_跳,other_demo_action,low,19,9.115332131257947,0.11984289344822706,0.28742548087719727
other_demo_唱歌,other_demo_action,low,27,11.641395720289475,0.16397980286962954,0.25807234123580813
other_demo_香蕉,other_demo_action,low,42,5.882495013927185,0.13814437069029445,0.339982703037631
