case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,19,100.0,0.0,0.0
subsample_even,target_positive_variant,high,10,87.77216728896488,0.030509608060037864,0.0341549954571055
trim_start_20pct,target_positive_variant,high,15,97.43026203201684,0.005075519140628479,0.006462430220048467
trim_end_20pct,target_positive_variant,high,15,97.738376187332,0.00452386690807428,0.005701016835864598
trim_both_10pct,target_positive_variant,high,15,97.71902641467433,0.004578696231786651,0.005755846159576969
amplitude_0.85,target_positive_variant,high,19,99.17831178888189,0.00037997251200318243,0.0016181391961820855
amplitude_1.15,target_positive_variant,high,19,99.33737829890767,0.00032092176636152415,0.001309010831215084
fake_reverse_time,synthetic_fake_action,low,19,19.27402567119539,0.08375792650019202,0.2963541269973333
fake_shuffle_frames,synthetic_fake_action,low,19,11.657126567925696,0.06792281061274627,0.3868654446780543
fake_static_hold,synthetic_fake_action,low,19,35.72858636136332,0.03076637911416117,0.12350628950507114
fake_random_landmarks,synthetic_fake_action,low,19,0.22657992991868542,0.3718343274300296,1.0961689843485838
fake_random_walk,synthetic_fake_action,low,19,0.4312507917759291,0.5755349548980858,0.980322418912354
other_demo_花,other_demo_action,low,53,41.93573604729702,0.07904214204625375,0.15642573004910626
other_demo_唱歌,other_demo_action,low,27,12.11433792036872,0.16457500850016346,0.3799404869022781
other_demo_香蕉,other_demo_action,low,42,23.499979321399305,0.1687678374692311,0.26067071606018766
