case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,19,100.0,0.0,0.0
subsample_even,target_positive_variant,high,10,81.48596768721619,0.033000513158259054,0.04629560051711508
trim_start_20pct,target_positive_variant,high,15,80.58569779258947,0.04624779363427194,0.05281751758298966
trim_end_20pct,target_positive_variant,high,15,81.00136093387849,0.04578402823586692,0.051782103415132986
trim_both_10pct,target_positive_variant,high,15,80.98549690412744,0.04583516657497717,0.05183324175424323
amplitude_0.85,target_positive_variant,high,19,76.82346596456401,0.04994921631417598,0.06222681927444253
amplitude_1.15,target_positive_variant,high,19,95.51894286968364,0.005318013807481031,0.009641561744501525
fake_reverse_time,synthetic_fake_action,low,19,20.524851148408747,0.11388784387796985,0.26873459426782786
fake_shuffle_frames,synthetic_fake_action,low,19,21.53788353375653,0.07091197251416043,0.26055868518135106
fake_static_hold,synthetic_fake_action,low,19,31.41784198959613,0.05153855836235612,0.13893530858621062
fake_random_landmarks,synthetic_fake_action,low,19,0.1456504552975528,0.694568421830563,1.1084689378267467
fake_random_walk,synthetic_fake_action,low,19,0.12157924695993627,0.872542938432358,1.1391251259428194
other_demo_唱歌,other_demo_action,low,27,9.018842205005898,0.27768447905872573,0.4082869998381742
other_demo_指示,other_demo_action,low,30,15.332844665237367,0.20635928589465252,0.3182274018393863
other_demo_月亮,other_demo_action,low,47,13.833854558314643,0.25344082035327564,0.3356864488097546
other_demo_朋友,other_demo_action,low,28,10.689441509204737,0.20932186055178698,0.3794471385708034
other_demo_汽车,other_demo_action,low,44,9.384200842808655,0.31726172063685554,0.40154772690073404
other_demo_花,other_demo_action,low,53,6.227361182035744,0.2215248850585088,0.47113973443378687
other_demo_虎,other_demo_action,low,54,7.759874752671165,0.29449890513168164,0.43380220244872003
other_demo_谗_羡慕,other_demo_action,low,32,4.843561596525063,0.2897464753892698,0.5137871590617844
other_demo_香蕉,other_demo_action,low,42,18.057600379518675,0.1968677374379466,0.29046874871817807
