case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,19,100.0,0.0,0.0
subsample_even,target_positive_variant,high,10,80.0876540645756,0.031137971030426443,0.05086701541854749
trim_start_20pct,target_positive_variant,high,15,93.86184067879894,0.005075519140628479,0.01317875938428744
trim_end_20pct,target_positive_variant,high,15,94.85589549649343,0.00452386690807428,0.011089393814989235
trim_both_10pct,target_positive_variant,high,15,94.83711638347056,0.004578696231786651,0.011144223138701604
amplitude_0.85,target_positive_variant,high,19,96.08670342012057,0.00037997251200318243,0.007318453848868976
amplitude_1.15,target_positive_variant,high,19,96.88403286034355,0.00032092176636152415,0.005810305459992412
fake_reverse_time,synthetic_fake_action,low,19,17.39433050259482,0.10003462076753916,0.3148246558884563
fake_shuffle_frames,synthetic_fake_action,low,19,11.256220649917584,0.07420591049394963,0.393164867429459
fake_static_hold,synthetic_fake_action,low,19,36.88074769999336,0.03505614373319231,0.11969766163730626
fake_random_landmarks,synthetic_fake_action,low,19,0.03374713447444341,0.6573345689633132,1.4389253920290983
fake_random_walk,synthetic_fake_action,low,19,0.06647669504379879,0.8625015372440835,1.316893325255951
other_demo_唱歌,other_demo_action,low,27,8.747976464302797,0.21168678248511907,0.43854259924549904
other_demo_指示,other_demo_action,low,30,6.772133418872693,0.3055110179764568,0.48462372366566503
other_demo_月亮,other_demo_action,low,47,11.352320481329038,0.2733097645933718,0.39163464274735316
other_demo_朋友,other_demo_action,low,28,3.2196942929781938,0.32053993923775437,0.6184590787813953
other_demo_汽车,other_demo_action,low,44,9.610333566445,0.3373016239466697,0.42161962558683697
other_demo_花,other_demo_action,low,53,39.63937115645993,0.08642827359694047,0.16656252129277338
other_demo_虎,other_demo_action,low,54,19.477627388112655,0.1552027626534627,0.294462664652954
other_demo_谗_羡慕,other_demo_action,low,32,12.443010562918975,0.13365077361469585,0.3751220018322783
other_demo_香蕉,other_demo_action,low,42,15.757464402907525,0.2273508928399625,0.3326140804756732
